Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
STOX2	ENST00000308497.4	storkhead box 2 	379	5	3	1	1	2	0	0	2	1	hsa-miR-30e-5p	0.1000	0.6766	3.2007	-0.73	-0.73	> 0.99	2007, 2009, 2011
TWF1	ENST00000552521.1	twinfilin actin-binding protein 1 	72	2	1	1	0	1	0	0	1	0	hsa-miR-30c-5p	0.0488	0.3189	1.3369	-0.73	-0.73	0.96	2011
PIP4K2A	ENST00000376573.4	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha 	632	3	2	0	1	1	0	0	1	0	hsa-miR-30b-5p	0.0503	0.3381	1.5572	-0.71	-0.72	0.98	2005, 2007, 2009, 2011
GABRB1	ENST00000295454.3	gamma-aminobutyric acid (GABA) A receptor, beta 1 	5	4	3	1	0	1	0	0	1	1	hsa-miR-30b-5p	0.0313	0.2063	0.8742	-0.70	-0.85	0.99	2009, 2011
SRSF7	ENST00000313117.6	serine/arginine-rich splicing factor 7 	16077	1	1	0	0	0	0	0	0	1	hsa-miR-30e-5p	0.0479	0.2710	0.7354	-0.66	-0.72	0.95	2005, 2007, 2009, 2011
LGI1	ENST00000371413.3	leucine-rich, glioma inactivated 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-30e-5p	0.0380	0.2260	0.6874	-0.65	-0.65	0.89	2005, 2007, 2009, 2011
GSKIP	ENST00000555181.1	GSK3B interacting protein 	1581	1	1	0	0	1	0	1	0	1	hsa-miR-30b-5p	0.0392	0.2554	1.0939	-0.65	-0.65	0.97	2007, 2009, 2011
PAPD4	ENST00000453514.1	PAP associated domain containing 4 	434	2	1	1	0	1	0	0	1	0	hsa-miR-30e-5p	0.0489	0.2980	1.0409	-0.64	-0.75	0.97	2005, 2007, 2011
CYP24A1	ENST00000216862.3	cytochrome P450, family 24, subfamily A, polypeptide 1 	51	1	1	0	0	2	0	0	2	0	hsa-miR-30e-5p	0.0345	0.2337	1.0978	-0.62	-0.62	0.97	2005, 2007, 2009, 2011
IL1RAPL2	ENST00000372582.1	interleukin 1 receptor accessory protein-like 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-30a-5p	0.0285	0.1785	0.6205	-0.62	-0.62	0.74	2009, 2011
WDR82	ENST00000296490.3	WD repeat domain 82 	319	2	2	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0733	0.4425	1.4939	-0.62	-0.65	0.99	2007, 2009, 2011
UBE2V2	ENST00000523111.2	ubiquitin-conjugating enzyme E2 variant 2 	1770	1	1	0	0	1	0	0	1	1	hsa-miR-30e-5p	0.0297	0.1933	0.8130	-0.61	-0.68	0.96	2005, 2007, 2009, 2011
TMEM170B	ENST00000379426.1	transmembrane protein 170B 	489	1	1	0	0	3	1	2	0	1	hsa-miR-30b-5p	0.0309	0.2127	1.1537	-0.61	-1.16	0.94	2009, 2011
ZNRF1	ENST00000335325.4	zinc and ring finger 1, E3 ubiquitin protein ligase 	519	2	2	0	0	0	0	0	0	0	hsa-miR-30a-5p	0.0680	0.4062	1.2877	-0.61	-0.62	> 0.99	2005, 2007, 2009, 2011
TNRC6A	ENST00000395799.3	trinucleotide repeat containing 6A 	267	4	2	2	0	0	0	0	0	0	hsa-miR-30b-5p	0.0827	0.5418	2.2159	-0.60	-0.60	> 0.99	2003, 2005, 2007, 2009, 2011
MEX3B	ENST00000558133.1	mex-3 RNA binding family member B 	1401	2	1	1	0	0	0	0	0	0	hsa-miR-30e-5p	0.0419	0.2653	1.0150	-0.60	-0.60	0.96	2005, 2007, 2009, 2011
CCNE2	ENST00000520509.1	cyclin E2 	76	2	2	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0401	0.2664	1.1557	-0.59	-0.61	0.81	2005, 2007, 2009, 2011
TTLL7	ENST00000260505.8	tubulin tyrosine ligase-like family, member 7 	93	1	1	0	0	1	0	0	1	2	hsa-miR-30b-5p	0.0478	0.3039	1.2659	-0.59	-0.64	0.95	2007, 2009, 2011
PTP4A1	ENST00000370651.3	protein tyrosine phosphatase type IVA, member 1 	5740	2	1	1	0	0	0	0	0	0	hsa-miR-30e-5p	0.0411	0.2517	0.8858	-0.59	-0.59	0.98	2005, 2007, 2009, 2011
FOXG1	ENST00000382535.3	forkhead box G1 	40	2	0	2	0	1	0	1	0	0	hsa-miR-30e-5p	0.0360	0.2427	1.1192	-0.59	-0.60	0.93	2003, 2005, 2007, 2009, 2011
PDE7A	ENST00000401827.3	phosphodiesterase 7A 	84	2	2	0	0	1	0	1	0	0	hsa-miR-30e-5p	0.0785	0.4605	1.3980	-0.58	-0.65	> 0.99	2011
LRRC17	ENST00000249377.4	leucine rich repeat containing 17 	144	1	1	0	0	1	1	0	0	0	hsa-miR-30e-5p	0.0391	0.2497	0.9430	-0.58	-0.66	0.71	2005, 2007, 2009, 2011
RORA	ENST00000335670.6	RAR-related orphan receptor A 	102	4	2	2	0	1	1	0	0	0	hsa-miR-30b-5p	0.0585	0.4033	2.0574	-0.58	-0.71	0.96	2011
KLHL28	ENST00000396128.4	kelch-like family member 28 	9	4	1	1	2	1	1	0	0	2	hsa-miR-30a-5p	0.0448	0.3028	1.4356	-0.57	-1.23	> 0.99	2007, 2009, 2011
DESI2	ENST00000302550.11	desumoylating isopeptidase 2 	147	2	2	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0504	0.3201	1.1860	-0.57	-0.57	> 0.99	2011
INO80D	ENST00000403263.1	INO80 complex subunit D 	5	2	1	0	1	1	0	0	1	0	hsa-miR-30b-5p	0.0383	0.2703	1.5350	-0.56	-0.56	0.93	2009, 2011
GAN	ENST00000568107.2	gigaxonin 	185	5	1	3	1	0	0	0	0	0	hsa-miR-30e-5p	0.0536	0.3527	1.5392	-0.56	-0.90	> 0.99	2011
UBE2I	ENST00000355803.4	ubiquitin-conjugating enzyme E2I 	291	1	1	0	0	0	0	0	0	0	hsa-miR-30e-5p	0.0235	0.1539	0.6358	-0.56	-0.56	0.95	2005, 2007, 2009, 2011
SCN9A	ENST00000409672.1	sodium channel, voltage-gated, type IX, alpha subunit 	240	2	2	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0508	0.2953	0.9186	-0.56	-0.68	0.95	2011
ARL4A	ENST00000396663.1	ADP-ribosylation factor-like 4A 	213	2	2	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0473	0.2893	1.0087	-0.56	-0.65	0.86	2009, 2011
RARB	ENST00000437042.2	retinoic acid receptor, beta 	48	2	0	2	0	0	0	0	0	0	hsa-miR-30b-5p	0.0252	0.1741	0.8770	-0.55	-0.55	0.90	2005, 2007, 2009, 2011
NFIB	ENST00000397575.3	nuclear factor I/B 	1149	4	0	2	2	0	0	0	0	0	hsa-miR-30e-5p	0.0607	0.4041	1.8028	-0.55	-0.58	> 0.99	2005, 2007, 2009, 2011
CAMK2N1	ENST00000375078.3	calcium/calmodulin-dependent protein kinase II inhibitor 1 	6631	1	1	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0510	0.2873	0.7952	-0.55	-0.55	0.95	2007, 2009, 2011
LIN28A	ENST00000326279.6	lin-28 homolog A (C. elegans) 	5	2	1	1	0	1	0	0	1	0	hsa-miR-30b-5p	0.0480	0.3057	1.2346	-0.55	-0.55	> 0.99	2003, 2005, 2007, 2009, 2011
GNA13	ENST00000439174.2	guanine nucleotide binding protein (G protein), alpha 13 	190	2	0	0	2	2	0	1	1	1	hsa-miR-30b-5p	0.0261	0.1847	1.0468	-0.54	-0.58	0.95	2005, 2007, 2009, 2011
ACTC1	ENST00000290378.4	actin, alpha, cardiac muscle 1 	164	1	1	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0336	0.2046	0.6553	-0.54	-0.54	0.95	2011
ZDHHC20	ENST00000320220.9	zinc finger, DHHC-type containing 20 	1486	3	1	1	1	2	0	2	0	1	hsa-miR-30b-5p	0.0566	0.3755	1.7588	-0.54	-0.66	> 0.99	2011
SOCS1	ENST00000332029.2	suppressor of cytokine signaling 1 	190	1	1	0	0	0	0	0	0	0	hsa-miR-30a-5p	0.0342	0.2076	0.6594	-0.54	-0.54	0.95	2005, 2007, 2009, 2011
RAB32	ENST00000367495.3	RAB32, member RAS oncogene family 	1894	1	1	0	0	1	0	0	1	1	hsa-miR-30e-5p	0.0213	0.1384	0.5456	-0.54	-0.68	0.95	2005, 2007, 2009, 2011
IDH1	ENST00000345146.2	isocitrate dehydrogenase 1 (NADP+), soluble 	503	2	0	0	2	0	0	0	0	0	hsa-miR-30a-5p	0.0195	0.1362	0.7349	-0.53	-0.53	0.95	2011
SRSF10	ENST00000343255.5	serine/arginine-rich splicing factor 10 	1920	1	0	0	1	3	1	1	1	2	hsa-miR-30c-5p	0.0341	0.2423	1.4188	-0.53	-0.67	0.78	NULL
RFX6	ENST00000332958.2	regulatory factor X, 6 	14	2	1	1	0	0	0	0	0	0	hsa-miR-30e-5p	0.0591	0.3706	1.3173	-0.52	-0.52	0.99	2005, 2007, 2009, 2011
RRAD	ENST00000420652.1	Ras-related associated with diabetes 	28	1	1	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0327	0.2006	0.6644	-0.52	-0.52	0.92	2005, 2007, 2009, 2011
C9orf72	ENST00000380003.3	chromosome 9 open reading frame 72 	25	2	1	0	1	0	0	0	0	0	hsa-miR-30e-5p	0.0487	0.3097	1.2099	-0.52	-0.52	0.97	2005, 2007, 2009, 2011
ELOVL5	ENST00000370918.4	ELOVL fatty acid elongase 5 	2233	1	1	0	0	0	0	0	0	2	hsa-miR-30e-5p	0.0279	0.1833	0.7998	-0.52	-0.52	0.72	2005, 2007, 2009, 2011
ZPBP2	ENST00000377940.3	zona pellucida binding protein 2 	5	1	1	0	0	1	0	0	1	0	hsa-miR-30b-5p	0.0333	0.2138	0.8537	-0.52	-0.52	0.55	2009, 2011
C7orf43	ENST00000394035.2	chromosome 7 open reading frame 43 	5436	2	0	1	1	0	0	0	0	0	hsa-miR-30b-5p	0.0299	0.1991	0.8728	-0.52	-0.52	0.93	2007, 2009, 2011
E2F7	ENST00000416496.2	E2F transcription factor 7 	308	3	0	0	3	0	0	0	0	0	hsa-miR-30b-5p	0.0307	0.2128	1.1123	-0.52	-0.54	0.99	2005, 2007, 2009, 2011
SLC7A10	ENST00000253188.4	solute carrier family 7 (neutral amino acid transporter light chain, asc system), member 10 	99	1	1	0	0	0	0	0	0	0	hsa-miR-30a-5p	0.0125	0.0853	0.4103	-0.52	-0.54	0.95	2005, 2007, 2009, 2011
ATP8A1	ENST00000381668.5	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 	48	1	1	0	0	1	0	0	1	1	hsa-miR-30e-5p	0.0402	0.2719	1.3796	-0.52	-0.52	0.41	2009, 2011
MIER3	ENST00000381226.3	mesoderm induction early response 1, family member 3 	112	4	1	1	2	2	0	1	1	0	hsa-miR-30e-5p	0.0645	0.4324	2.0511	-0.51	-0.54	> 0.99	2007, 2009, 2011
COL25A1	ENST00000399132.1	collagen, type XXV, alpha 1 	270	2	1	0	1	2	0	1	1	0	hsa-miR-30b-5p	0.0719	0.4313	1.4999	-0.51	-0.57	> 0.99	2011
SCN2A	ENST00000375437.2	sodium channel, voltage-gated, type II, alpha subunit 	7	3	2	1	0	0	0	0	0	1	hsa-miR-30e-5p	0.0763	0.4854	1.9712	-0.51	-0.51	0.95	2007, 2009, 2011
EDNRA	ENST00000339690.5	endothelin receptor type A 	35	1	1	0	0	1	0	0	1	1	hsa-miR-30b-5p	0.0491	0.3023	1.1336	-0.51	-0.51	0.95	2005, 2007, 2009, 2011
RASA1	ENST00000456692.2	RAS p21 protein activator (GTPase activating protein) 1 	1700	1	1	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0277	0.1786	0.7161	-0.51	-0.51	0.95	2005, 2007, 2009, 2011
ZBTB11	ENST00000312938.4	zinc finger and BTB domain containing 11 	179	1	1	0	0	1	0	0	1	1	hsa-miR-30a-5p	0.0342	0.2204	0.9114	-0.51	-0.51	0.81	2009, 2011
REEP3	ENST00000373758.4	receptor accessory protein 3 	1095	2	0	2	0	1	1	0	0	2	hsa-miR-30b-5p	0.0316	0.2176	1.1098	-0.51	-0.63	0.88	2007, 2009, 2011
VIM	ENST00000224237.5	vimentin 	31747	1	0	0	1	1	0	0	1	0	hsa-miR-30e-5p	0.0193	0.1335	0.6777	-0.51	-0.51	0.82	2005, 2007
DOLPP1	ENST00000540102.1	dolichyldiphosphatase 1 	963	2	1	1	0	0	0	0	0	0	hsa-miR-30e-5p	0.0359	0.2352	0.9658	-0.50	-0.50	0.85	2005, 2007, 2009, 2011
PBRM1	ENST00000356770.4	polybromo 1 	689	2	0	0	2	0	0	0	0	1	hsa-miR-30e-5p	0.0285	0.1977	1.0283	-0.50	-0.52	0.95	2007, 2009, 2011
ELMOD2	ENST00000323570.3	ELMO/CED-12 domain containing 2 	32	1	1	0	0	1	0	1	0	0	hsa-miR-30b-5p	0.0477	0.2919	1.0312	-0.50	-0.54	0.95	2005, 2007, 2009, 2011
FAP	ENST00000188790.4	fibroblast activation protein, alpha 	618	1	1	0	0	0	0	0	0	0	hsa-miR-30e-5p	0.0460	0.2630	0.7269	-0.50	-0.50	0.87	2005, 2007, 2009, 2011
ATG5	ENST00000360666.4	autophagy related 5 	1078	1	1	0	0	0	0	0	0	0	hsa-miR-30a-5p	0.0328	0.2000	0.6475	-0.50	-0.50	0.72	2007, 2009, 2011
FBXO45	ENST00000311630.6	F-box protein 45 	72	1	1	0	0	1	0	0	1	1	hsa-miR-30e-5p	0.0576	0.3383	1.1377	-0.50	-0.51	0.96	2009, 2011
RHEBL1	ENST00000301068.6	Ras homolog enriched in brain like 1 	21	1	1	0	0	0	0	0	0	0	hsa-miR-30e-5p	0.0537	0.2955	0.7560	-0.50	-0.50	0.82	2005, 2007, 2009, 2011
FAM43A	ENST00000329759.4	family with sequence similarity 43, member A 	287	2	1	1	0	0	0	0	0	0	hsa-miR-30a-5p	0.0561	0.3225	0.9932	-0.50	-0.50	0.98	2003, 2005, 2007, 2009, 2011
RUNX2	ENST00000371432.3	runt-related transcription factor 2 	105	2	1	1	0	2	0	1	1	1	hsa-miR-30b-5p	0.0354	0.2423	1.2029	-0.49	-0.49	0.94	2007, 2009, 2011
CEP76	ENST00000262127.2	centrosomal protein 76kDa 	313	1	1	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0299	0.1950	0.8185	-0.49	-0.50	0.72	2009, 2011
PTPN13	ENST00000436978.1	protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase) 	97	2	0	2	0	0	0	0	0	0	hsa-miR-30e-5p	0.0319	0.2170	1.0354	-0.49	-0.49	0.83	2005, 2007, 2009, 2011
HOXA1	ENST00000355633.5	homeobox A1 	157	1	1	0	0	0	0	0	0	1	hsa-miR-30e-5p	0.0260	0.1694	0.7039	-0.49	-0.49	0.81	2005, 2007, 2009
AC104472.1	ENST00000399242.2	CDNA FLJ26134 fis, clone TMS03713; Uncharacterized protein  	5	1	1	0	0	0	0	0	0	0	hsa-miR-30a-5p	0.0163	0.1114	0.5430	-0.49	-0.49	< 0.1	NULL
RAD23B	ENST00000358015.3	RAD23 homolog B (S. cerevisiae) 	1012	2	1	1	0	0	0	0	0	0	hsa-miR-30c-5p	0.0218	0.1511	0.7852	-0.49	-0.49	0.96	2005, 2007, 2009, 2011
EVX2	ENST00000308618.4	even-skipped homeobox 2 	9	2	1	0	1	1	0	1	0	0	hsa-miR-30e-5p	0.0646	0.4046	1.5414	-0.48	-0.48	0.98	NULL
SEC23A	ENST00000537403.1	Sec23 homolog A (S. cerevisiae) 	413	1	1	0	0	1	0	0	1	1	hsa-miR-30b-5p	0.0251	0.1672	0.7762	-0.48	-0.61	0.62	2005, 2007, 2009, 2011
RP11-160N1.10	ENST00000377548.2		5	1	1	0	0	0	0	0	0	0	hsa-miR-30e-5p	0.0147	0.0999	0.4617	-0.48	-0.48	0.30	NULL
SMAD1	ENST00000302085.4	SMAD family member 1 	240	1	0	0	1	1	0	0	1	0	hsa-miR-30b-5p	0.0276	0.1851	0.8367	-0.48	-0.49	0.91	2005, 2007, 2009, 2011
SYNGR3	ENST00000562045.1	synaptogyrin 3 	223	1	1	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0245	0.1570	0.5898	-0.48	-0.49	0.92	2005, 2007, 2009, 2011
ACTR3C	ENST00000252071.4	ARP3 actin-related protein 3 homolog C (yeast) 	5	1	1	0	0	0	0	0	0	0	hsa-miR-30e-5p	0.0283	0.1773	0.6136	-0.48	-0.48	< 0.1	2011
FZD3	ENST00000240093.3	frizzled family receptor 3 	192	3	3	0	0	0	0	0	0	1	hsa-miR-30e-5p	0.0830	0.5361	2.2142	-0.48	-0.55	0.99	2011
ELAVL2	ENST00000380110.4	ELAV like neuron-specific RNA binding protein 2 	78	1	0	0	1	1	0	0	1	0	hsa-miR-30b-5p	0.0289	0.1976	0.9688	-0.48	-0.53	0.95	2005, 2007
STX2	ENST00000392373.2	syntaxin 2 	216	1	1	0	0	1	0	0	1	0	hsa-miR-30a-5p	0.0277	0.1776	0.7267	-0.48	-0.60	0.73	2007, 2009, 2011
RP11-497E19.2	ENST00000553678.1	Uncharacterized protein  	5	1	1	0	0	0	0	0	0	0	hsa-miR-30e-5p	0.0138	0.0940	0.4362	-0.48	-0.48	< 0.1	NULL
TIA1	ENST00000433529.2	TIA1 cytotoxic granule-associated RNA binding protein 	1370	2	0	1	1	0	0	0	0	1	hsa-miR-30e-5p	0.0264	0.1804	0.8782	-0.48	-0.50	0.93	2007, 2009, 2011
C10orf11	ENST00000496424.2	chromosome 10 open reading frame 11 	5	1	0	1	0	1	0	0	1	0	hsa-miR-30a-5p	0.0188	0.1292	0.6566	-0.48	-0.48	0.71	NULL
GMNC	ENST00000442080.1	geminin coiled-coil domain containing 	19	2	2	0	0	0	0	0	0	1	hsa-miR-30a-5p	0.0549	0.3476	1.2638	-0.47	-0.49	> 0.99	2011
RARG	ENST00000425354.2	retinoic acid receptor, gamma 	21	2	2	0	0	0	0	0	0	0	hsa-miR-30c-5p	0.0465	0.2991	1.1306	-0.47	-0.47	0.97	2003, 2005, 2007, 2009, 2011
GNG10	ENST00000374293.4	guanine nucleotide binding protein (G protein), gamma 10 	407	1	1	0	0	0	0	0	0	0	hsa-miR-30a-5p	0.0251	0.1615	0.6207	-0.47	-0.47	0.63	2009, 2011
PPP1R2	ENST00000328432.3	protein phosphatase 1, regulatory (inhibitor) subunit 2 	8	1	1	0	0	1	1	0	0	0	hsa-miR-30b-5p	0.0208	0.1445	0.7519	-0.47	-0.47	0.14	2009, 2011
RP6-24A23.6	ENST00000563887.1	Uncharacterized protein  	937	1	0	0	1	2	0	2	0	0	hsa-miR-30b-5p	0.0231	0.1577	0.7831	-0.47	-0.65	0.78	NULL
UCP3	ENST00000314032.4	uncoupling protein 3 (mitochondrial, proton carrier) 	10	1	1	0	0	1	0	1	0	0	hsa-miR-30a-5p	0.0322	0.2113	0.8866	-0.47	-0.47	0.86	2009, 2011
EXTL2	ENST00000370113.3	exostosin-like glycosyltransferase 2 	204	1	1	0	0	1	0	1	0	0	hsa-miR-30b-5p	0.0491	0.2947	1.0264	-0.47	-0.47	0.80	2005, 2007, 2009, 2011
LHX9	ENST00000367390.3	LIM homeobox 9 	40	3	1	0	2	1	0	0	1	1	hsa-miR-30e-5p	0.0272	0.1891	1.0117	-0.47	-0.83	0.98	NULL
PPIL3	ENST00000286175.8	peptidylprolyl isomerase (cyclophilin)-like 3 	96	1	1	0	0	0	0	0	0	1	hsa-miR-30b-5p	0.0147	0.1011	0.5069	-0.47	-0.47	0.12	2011
PGM3	ENST00000513973.1	phosphoglucomutase 3 	707	1	1	0	0	1	0	1	0	0	hsa-miR-30e-5p	0.0448	0.2797	1.0583	-0.47	-0.48	0.74	2009, 2011
STIM2	ENST00000467011.1	stromal interaction molecule 2 	380	3	1	1	1	2	0	0	2	0	hsa-miR-30a-5p	0.0581	0.3630	1.4194	-0.47	-0.63	> 0.99	2003, 2005, 2007, 2009, 2011
DOCK7	ENST00000251157.5	dedicator of cytokinesis 7 	66	1	1	0	0	1	0	0	1	0	hsa-miR-30b-5p	0.0296	0.1933	0.8266	-0.46	-0.54	0.93	2005, 2007, 2009, 2011
PPARGC1A	ENST00000264867.2	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha 	19	3	0	1	2	0	0	0	0	0	hsa-miR-30e-5p	0.0448	0.3030	1.4305	-0.46	-0.48	0.99	2005, 2007, 2009, 2011
ASB3	ENST00000406625.2	Ankyrin repeat and SOCS box protein 3  	317	1	1	0	0	1	0	1	0	0	hsa-miR-30b-5p	0.0222	0.1460	0.6168	-0.46	-0.52	0.47	NULL
STAC	ENST00000273183.3	SH3 and cysteine rich domain 	172	1	1	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0316	0.2000	0.7547	-0.46	-0.46	0.91	2005, 2007, 2009, 2011
LMBR1L	ENST00000267102.8	limb development membrane protein 1-like 	346	1	1	0	0	1	1	0	0	0	hsa-miR-30e-5p	0.0276	0.1858	0.8449	-0.46	-0.46	0.91	2007, 2009, 2011
CHD1	ENST00000284049.3	chromodomain helicase DNA binding protein 1 	35	2	1	1	0	0	0	0	0	0	hsa-miR-30a-5p	0.0499	0.3138	1.1751	-0.46	-0.46	0.99	2009, 2011
DBF4	ENST00000265728.1	DBF4 homolog (S. cerevisiae) 	30	1	1	0	0	0	0	0	0	0	hsa-miR-30e-5p	0.0551	0.3100	0.8876	-0.46	-0.46	0.93	2009, 2011
PPP1R18	ENST00000399199.3	protein phosphatase 1, regulatory subunit 18 	265	3	1	0	2	0	0	0	0	0	hsa-miR-30e-5p	0.0377	0.2536	1.1617	-0.46	-0.46	0.99	2011
BECN1	ENST00000438274.3	beclin 1, autophagy related 	2879	1	1	0	0	0	0	0	0	0	hsa-miR-30a-5p	0.0305	0.1886	0.6319	-0.45	-0.45	0.92	2005, 2007, 2009, 2011
LIN28B	ENST00000345080.4	lin-28 homolog B (C. elegans) 	118	3	3	0	0	0	0	0	0	0	hsa-miR-30e-5p	0.0700	0.4443	1.7193	-0.45	-0.45	> 0.99	2007, 2009, 2011
FAM133A	ENST00000538690.1	family with sequence similarity 133, member A 	14	1	1	0	0	2	0	1	1	0	hsa-miR-30e-5p	0.0233	0.1626	0.8817	-0.45	-0.45	0.24	2009, 2011
FAM49A	ENST00000381323.3	family with sequence similarity 49, member A 	38	1	1	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0442	0.2595	0.8016	-0.45	-0.45	0.95	2005, 2007, 2009, 2011
GALNT7	ENST00000265000.4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 7 (GalNAc-T7) 	953	2	2	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0664	0.4014	1.3683	-0.45	-0.45	0.99	2005, 2007, 2009, 2011
PRDM1	ENST00000369089.3	PR domain containing 1, with ZNF domain 	48	2	0	0	2	1	1	0	0	0	hsa-miR-30e-5p	0.0223	0.1534	0.7623	-0.45	-0.51	0.95	2005, 2007, 2009, 2011
REV1	ENST00000393445.3	REV1, polymerase (DNA directed) 	1210	1	1	0	0	0	0	0	0	0	hsa-miR-30b-5p	0.0339	0.2114	0.7686	-0.45	-0.45	0.95	2007, 2009, 2011
PGM1	ENST00000371084.3	phosphoglucomutase 1 	612	1	1	0	0	1	0	0	1	0	hsa-miR-30e-5p	0.0225	0.1504	0.6820	-0.45	-0.45	0.76	2005, 2007, 2009, 2011
COL13A1	ENST00000398974.3	collagen, type XIII, alpha 1 	628	1	1	0	0	1	0	0	1	0	hsa-miR-30a-5p	0.0478	0.2840	0.9289	-0.44	-0.46	0.95	2005, 2007, 2009, 2011
GPR75-ASB3	ENST00000263634.3	GPR75-ASB3 readthrough 	317	1	1	0	0	1	0	1	0	0	hsa-miR-30b-5p	0.0222	0.1463	0.6189	-0.44	-0.50	0.47	2005, 2007, 2009, 2011
PPID	ENST00000307720.3	peptidylprolyl isomerase D 	1544	1	1	0	0	0	0	0	0	0	hsa-miR-30a-5p	0.0377	0.2245	0.6891	-0.44	-0.45	0.95	2005, 2007, 2009, 2011
CAPN5	ENST00000531028.1	calpain 5 	89	1	1	0	0	0	0	0	0	0	hsa-miR-30e-5p	0.0378	0.2226	0.6562	-0.44	-0.47	0.94	2005, 2007, 2009, 2011
USP45	ENST00000392738.2	ubiquitin specific peptidase 45 	491	1	0	1	0	2	0	1	1	2	hsa-miR-30b-5p	0.0276	0.1916	1.0232	-0.44	-0.51	0.70	2007, 2009, 2011
