Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
TTPAL	ENST00000372906.2	tocopherol (alpha) transfer protein-like 	265	1	1	0	0	1	0	1	0	1	hsa-miR-18b-5p	0.0584	0.3234	0.9123	-0.60	-0.69	0.41	2009, 2011
TMEM2	ENST00000377044.4	transmembrane protein 2 	130	2	0	2	0	0	0	0	0	0	hsa-miR-18a-5p	0.0522	0.3254	1.1509	-0.58	-0.58	0.91	2009, 2011
HMGCS1	ENST00000325110.6	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) 	3730	2	1	0	1	0	0	0	0	0	hsa-miR-18a-5p	0.0581	0.3309	1.0129	-0.58	-0.62	0.68	2005, 2007, 2009, 2011
ZNF367	ENST00000375256.4	zinc finger protein 367 	325	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.1281	0.5280	0.9630	-0.57	-0.57	0.82	2005, 2007, 2009, 2011
CREBL2	ENST00000228865.2	cAMP responsive element binding protein-like 2 	218	1	1	0	0	0	0	0	0	4	hsa-miR-18b-5p	0.0509	0.2855	0.7754	-0.57	-0.77	0.79	2005, 2007, 2009, 2011
PTP4A3	ENST00000520105.1	protein tyrosine phosphatase type IVA, member 3 	65	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0292	0.1863	0.7160	-0.56	-0.56	0.66	2009, 2011
KCNH7	ENST00000332142.5	potassium voltage-gated channel, subfamily H (eag-related), member 7 	5	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0501	0.2825	0.7752	-0.55	-0.55	0.80	2009, 2011
CDK19	ENST00000368911.3	cyclin-dependent kinase 19 	51	2	0	2	0	0	0	0	0	1	hsa-miR-18a-5p	0.0441	0.2820	1.0749	-0.55	-0.69	0.94	2005, 2007, 2009, 2011
AC140061.12	ENST00000598429.1	Uncharacterized protein  	11	2	0	1	1	1	0	0	1	0	hsa-miR-18a-5p	0.0271	0.1821	0.8470	-0.54	-0.54	0.45	NULL
PHF19	ENST00000373896.3	PHD finger protein 19 	490	1	0	1	0	1	0	1	0	1	hsa-miR-18a-5p	0.0362	0.2287	0.8714	-0.54	-0.54	0.84	2005, 2007, 2009, 2011
XYLT2	ENST00000017003.2	xylosyltransferase II 	514	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0466	0.2686	0.7790	-0.53	-0.53	0.82	2005, 2007, 2009, 2011
TWF1	ENST00000552521.1	twinfilin actin-binding protein 1 	72	1	0	1	0	1	0	0	1	0	hsa-miR-18b-5p	0.0337	0.2229	0.9553	-0.52	-0.52	0.23	2011
HMBOX1	ENST00000397358.3	homeobox containing 1 	27	1	1	0	0	2	0	0	2	3	hsa-miR-18a-5p	0.0702	0.3668	0.9134	-0.52	-0.62	0.78	2007, 2009, 2011
CCND2	ENST00000261254.3	cyclin D2 	66	1	1	0	0	1	0	1	0	2	hsa-miR-18a-5p	0.0789	0.4171	1.2122	-0.52	-0.62	0.79	2009, 2011
VMA21	ENST00000330374.6	VMA21 vacuolar H+-ATPase homolog (S. cerevisiae) 	2162	1	1	0	0	1	0	0	1	0	hsa-miR-18a-5p	0.1016	0.4601	0.9379	-0.51	-0.53	0.83	2007, 2009, 2011
TRAPPC8	ENST00000283351.4	trafficking protein particle complex 8 	502	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0731	0.3696	0.8289	-0.51	-0.51	0.81	2009, 2011
SH3BP4	ENST00000392011.2	SH3-domain binding protein 4 	783	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0859	0.4239	1.0008	-0.50	-0.50	0.84	2005, 2007, 2009, 2011
IRF2	ENST00000393593.3	interferon regulatory factor 2 	420	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0367	0.2195	0.6751	-0.50	-0.50	0.81	2005, 2007, 2009, 2011
FAM229B	ENST00000368656.2	family with sequence similarity 229, member B 	237	1	0	1	0	2	0	0	2	0	hsa-miR-18a-5p	0.0059	0.0422	0.2509	-0.49	-0.60	0.42	2009, 2011
AC137932.1	ENST00000602042.1		5	1	0	1	0	1	0	1	0	0	hsa-miR-18a-5p	0.0158	0.1115	0.6339	-0.49	-0.49	< 0.1	NULL
HIF1A	ENST00000323441.6	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) 	1955	1	0	1	0	1	0	0	1	2	hsa-miR-18a-5p	0.0368	0.2238	0.7408	-0.49	-0.50	0.83	2005, 2007, 2009, 2011
ZFP36L1	ENST00000555997.1	ZFP36 ring finger protein-like 1 	231	1	0	1	0	1	0	1	0	1	hsa-miR-18a-5p	0.0148	0.1048	0.6049	-0.49	-0.53	< 0.1	2007
GMPR	ENST00000259727.4	guanosine monophosphate reductase 	49	1	0	1	0	1	0	0	1	1	hsa-miR-18a-5p	0.0278	0.1769	0.6615	-0.48	-0.55	0.20	NULL
LMO4	ENST00000370544.5	LIM domain only 4 	294	1	0	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0280	0.1803	0.7145	-0.48	-0.50	0.53	2009, 2011
PARD6B	ENST00000371610.2	par-6 family cell polarity regulator beta 	277	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0793	0.3863	0.8118	-0.47	-0.49	0.80	2009, 2011
DAAM2	ENST00000538976.1	dishevelled associated activator of morphogenesis 2 	5	1	0	1	0	0	0	0	0	3	hsa-miR-18a-5p	0.0563	0.3222	1.0019	-0.47	-0.47	0.73	2009, 2011
ZBTB47	ENST00000457842.3	zinc finger and BTB domain containing 47 	81	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0879	0.4024	0.7959	-0.47	-0.53	0.83	2007, 2009, 2011
BTG3	ENST00000339775.6	BTG family, member 3 	3656	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0403	0.2392	0.7362	-0.46	-0.46	0.61	2005, 2007, 2009, 2011
SOCS5	ENST00000306503.5	suppressor of cytokine signaling 5 	72	1	0	1	0	1	0	0	1	0	hsa-miR-18a-5p	0.0715	0.3749	0.9539	-0.46	-0.52	0.80	2007
GCLC	ENST00000229416.6	glutamate-cysteine ligase, catalytic subunit 	1001	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0458	0.2643	0.7755	-0.46	-0.47	0.13	2005, 2007, 2009, 2011
TBPL1	ENST00000237264.4	TBP-like 1 	69	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0355	0.2161	0.7142	-0.45	-0.45	0.81	2009, 2011
ASXL2	ENST00000435504.4	additional sex combs like 2 (Drosophila) 	139	1	0	1	0	4	0	2	2	0	hsa-miR-18a-5p	0.0656	0.4145	1.6549	-0.45	-0.59	0.84	2005, 2007, 2009, 2011
NAA50	ENST00000240922.3	N(alpha)-acetyltransferase 50, NatE catalytic subunit 	260	1	0	1	0	1	0	1	0	1	hsa-miR-18a-5p	0.0501	0.2807	0.8161	-0.45	-0.79	0.75	2007, 2011
UBTD2	ENST00000393792.2	ubiquitin domain containing 2 	297	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0478	0.2724	0.7626	-0.45	-0.45	0.57	2007, 2009, 2011
ORAI3	ENST00000318663.4	ORAI calcium release-activated calcium modulator 3 	565	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0266	0.1706	0.6589	-0.44	-0.44	0.65	2009, 2011
SMAD2	ENST00000262160.6	SMAD family member 2 	1196	1	0	1	0	1	0	0	1	1	hsa-miR-18a-5p	0.0465	0.2656	0.7434	-0.44	-0.46	0.84	2005, 2007, 2009, 2011
KPNA6	ENST00000373625.3	karyopherin alpha 6 (importin alpha 7) 	272	1	0	1	0	0	0	0	0	3	hsa-miR-18a-5p	0.0342	0.2121	0.7541	-0.44	-0.44	0.78	2009, 2011
RAB5C	ENST00000346213.4	RAB5C, member RAS oncogene family 	96	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0219	0.1408	0.5324	-0.43	-0.46	0.73	2005, 2007, 2009, 2011
GIGYF1	ENST00000275732.5	GRB10 interacting GYF protein 1 	5	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.1298	0.5300	0.9483	-0.43	-0.43	0.82	2005, 2007, 2009, 2011
PDE4D	ENST00000340635.6	phosphodiesterase 4D, cAMP-specific 	747	2	1	0	1	0	0	0	0	1	hsa-miR-18a-5p	0.1064	0.4817	1.0821	-0.43	-0.47	0.83	2005, 2007, 2009, 2011
MAPK4	ENST00000592595.1	mitogen-activated protein kinase 4 	77	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0855	0.3792	0.7092	-0.42	-0.54	0.83	2009, 2011
CDC42	ENST00000344548.3	cell division cycle 42 	34	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0164	0.1114	0.5261	-0.42	-0.43	0.21	2007, 2009
RNF146	ENST00000356799.2	ring finger protein 146 	1504	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0176	0.1172	0.5065	-0.42	-0.42	< 0.1	NULL
KLHL20	ENST00000209884.4	kelch-like family member 20 	324	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0310	0.1905	0.6292	-0.41	-0.43	0.81	2007, 2009, 2011
STAM2	ENST00000263904.4	signal transducing adaptor molecule (SH3 domain and ITAM motif) 2 	296	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0276	0.1735	0.6112	-0.41	-0.42	0.77	2009, 2011
SMAP2	ENST00000539317.1	small ArfGAP2 	1062	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0411	0.2401	0.7078	-0.41	-0.43	0.63	2007, 2009, 2011
ETV6	ENST00000396373.4	ets variant 6 	44	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0706	0.3642	0.8663	-0.41	-0.44	0.84	2011
RBBP8	ENST00000399722.2	retinoblastoma binding protein 8 	88	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0175	0.1154	0.4766	-0.41	-0.45	0.55	NULL
FAM196B	ENST00000377365.3	family with sequence similarity 196, member B 	174	1	0	1	0	1	0	1	0	2	hsa-miR-18a-5p	0.0430	0.2730	1.0775	-0.41	-0.43	0.49	NULL
LAT	ENST00000395461.3	linker for activation of T cells 	41	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0186	0.1226	0.5080	-0.41	-0.41	0.70	2009, 2011
CAMK2N1	ENST00000375078.3	calcium/calmodulin-dependent protein kinase II inhibitor 1 	6631	1	0	1	0	1	0	1	0	1	hsa-miR-18a-5p	0.0173	0.1150	0.4924	-0.40	-0.75	0.64	2007
NR1H2	ENST00000253727.5	nuclear receptor subfamily 1, group H, member 2 	35	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0313	0.1933	0.6520	-0.40	-0.40	0.81	2005, 2007, 2009, 2011
FCHSD2	ENST00000311172.7	FCH and double SH3 domains 2 	73	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0145	0.1009	0.5300	-0.40	-0.40	0.79	2005, 2007, 2009, 2011
ZCCHC3	ENST00000382352.3	zinc finger, CCHC domain containing 3 	1328	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0253	0.1611	0.5873	-0.40	-0.40	0.18	2011
ZFP62	ENST00000512132.1	ZFP62 zinc finger protein 	170	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0243	0.1584	0.6521	-0.40	-0.40	0.81	2011
RAB22A	ENST00000244040.3	RAB22A, member RAS oncogene family 	484	1	0	1	0	1	0	0	1	0	hsa-miR-18a-5p	0.0120	0.0843	0.4580	-0.40	-0.41	0.28	2009, 2011
HSF5	ENST00000323777.3	heat shock transcription factor family member 5 	5	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0198	0.1307	0.5518	-0.40	-0.40	< 0.1	2011
TAL2	ENST00000334077.3	T-cell acute lymphocytic leukemia 2 	21	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0325	0.1896	0.5511	-0.40	-0.54	0.23	NULL
KCND3	ENST00000369697.1	potassium voltage-gated channel, Shal-related subfamily, member 3 	23	1	0	1	0	1	0	1	0	2	hsa-miR-18a-5p	0.0526	0.3081	1.0138	-0.39	-0.39	0.85	NULL
ADD3	ENST00000277900.8	adducin 3 (gamma) 	537	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0256	0.1627	0.5955	-0.39	-0.39	0.56	2007, 2009, 2011
ROMO1	ENST00000374072.1	reactive oxygen species modulator 1 	1945	1	0	1	0	1	1	0	0	0	hsa-miR-18a-5p	0.0028	0.0204	0.1358	-0.39	-1.04	< 0.1	NULL
SLC50A1	ENST00000368404.4	solute carrier family 50 (sugar efflux transporter), member 1 	3317	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0034	0.0246	0.1572	-0.39	-0.39	< 0.1	2011
RABGAP1	ENST00000373647.4	RAB GTPase activating protein 1 	514	1	0	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0331	0.2077	0.7638	-0.39	-0.39	0.44	2007, 2009, 2011
TMEM248	ENST00000341567.4	transmembrane protein 248 	3207	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0225	0.1475	0.6107	-0.38	-0.38	0.78	2007, 2009, 2011
FRS2	ENST00000550389.1	fibroblast growth factor receptor substrate 2 	176	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0202	0.1327	0.5481	-0.38	-0.38	0.82	2009, 2011
CRIM1	ENST00000280527.2	cysteine rich transmembrane BMP regulator 1 (chordin-like) 	4842	1	0	1	0	1	0	0	1	0	hsa-miR-18a-5p	0.0528	0.3120	1.0565	-0.38	-0.38	0.62	2005, 2007, 2009, 2011
AEBP2	ENST00000266508.9	AE binding protein 2 	1228	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0497	0.2787	0.7425	-0.38	-0.38	0.80	2005, 2007, 2009, 2011
RNF145	ENST00000274542.2	ring finger protein 145 	12145	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0170	0.1135	0.4978	-0.37	-0.37	0.41	NULL
MAP3K1	ENST00000399503.3	mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase 	137	1	1	0	0	0	0	0	0	1	hsa-miR-18b-5p	0.0770	0.3976	1.0176	-0.37	-0.37	0.82	2009, 2011
CTGF	ENST00000367976.3	connective tissue growth factor 	10083	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0124	0.0843	0.3947	-0.37	-0.40	0.45	2005, 2007, 2009, 2011
TNFAIP3	ENST00000237289.4	tumor necrosis factor, alpha-induced protein 3 	150	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0254	0.1633	0.6320	-0.37	-0.37	0.53	2009, 2011
SIX3	ENST00000260653.3	SIX homeobox 3 	15	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0483	0.2627	0.6612	-0.36	-0.44	0.59	2011
OLFML2B	ENST00000294794.3	olfactomedin-like 2B 	5	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0354	0.2167	0.7283	-0.36	-0.36	0.67	2009, 2011
MDGA1	ENST00000297153.7	MAM domain containing glycosylphosphatidylinositol anchor 1 	240	1	0	1	0	1	0	1	0	3	hsa-miR-18a-5p	0.0472	0.3037	1.2282	-0.36	-0.37	0.65	2005, 2007, 2009, 2011
MYLK	ENST00000360772.3	myosin light chain kinase 	2964	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0312	0.2000	0.7933	-0.36	-0.36	0.81	2009, 2011
KCNA2	ENST00000485317.1	potassium voltage-gated channel, shaker-related subfamily, member 2 	5	1	1	0	0	1	0	0	1	0	hsa-miR-18a-5p	0.0127	0.0896	0.5012	-0.36	-0.36	< 0.1	NULL
CNTNAP1	ENST00000264638.4	contactin associated protein 1 	821	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0584	0.3172	0.8168	-0.36	-0.36	0.38	2009, 2011
PTGFRN	ENST00000393203.2	prostaglandin F2 receptor inhibitor 	591	2	1	0	1	0	0	0	0	0	hsa-miR-18a-5p	0.0954	0.4460	0.9532	-0.35	-0.36	0.81	2005, 2007, 2009, 2011
CDK14	ENST00000380050.3	cyclin-dependent kinase 14 	226	1	0	1	0	1	0	0	1	0	hsa-miR-18a-5p	0.0347	0.2242	0.9120	-0.35	-0.37	0.19	NULL
ZBTB4	ENST00000380599.4	zinc finger and BTB domain containing 4 	1039	1	1	0	0	0	0	0	0	1	hsa-miR-18a-5p	0.0957	0.4470	0.9413	-0.35	-0.35	0.81	2005, 2007, 2009, 2011
MBOAT2	ENST00000305997.3	membrane bound O-acyltransferase domain containing 2 	1145	1	0	1	0	1	0	0	1	1	hsa-miR-18a-5p	0.0281	0.1809	0.7071	-0.35	-0.37	0.79	2009, 2011
NXT2	ENST00000372106.1	nuclear transport factor 2-like export factor 2 	390	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0140	0.0951	0.4488	-0.35	-0.35	0.19	2009, 2011
LIN54	ENST00000395282.2	lin-54 homolog (C. elegans) 	228	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0191	0.1320	0.6901	-0.34	-0.38	0.27	2009, 2011
SUCO	ENST00000367723.4	SUN domain containing ossification factor 	86	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0210	0.1405	0.6358	-0.34	-0.34	0.60	2005, 2007, 2009, 2011
HSF2	ENST00000452194.1	heat shock transcription factor 2 	1073	1	0	1	0	0	0	0	0	0	hsa-miR-18b-5p	0.0117	0.0807	0.4050	-0.34	-0.34	0.36	2005, 2007, 2011
ALCAM	ENST00000306107.5	activated leukocyte cell adhesion molecule 	371	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0257	0.1709	0.7548	-0.34	-0.34	0.53	2007, 2009, 2011
UBE2Z	ENST00000360943.5	ubiquitin-conjugating enzyme E2Z 	3688	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0380	0.2337	0.8208	-0.34	-0.34	0.44	2007, 2009, 2011
CHRM2	ENST00000445907.2	cholinergic receptor, muscarinic 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0248	0.1632	0.6958	-0.34	-0.34	< 0.1	NULL
PDGFC	ENST00000502773.1	platelet derived growth factor C 	238	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0353	0.2193	0.7937	-0.34	-0.36	0.25	NULL
LSM14B	ENST00000253001.4	LSM14B, SCD6 homolog B (S. cerevisiae) 	700	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0348	0.2056	0.6119	-0.34	-0.39	0.83	2009, 2011
KCNJ2	ENST00000243457.3	potassium inwardly-rectifying channel, subfamily J, member 2 	5	1	1	0	0	1	0	0	1	1	hsa-miR-18a-5p	0.0423	0.2569	0.8761	-0.34	-0.34	0.23	2011
NEDD4	ENST00000338963.2	neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase 	289	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0673	0.3580	0.9504	-0.33	-0.35	0.84	2009, 2011
LIF	ENST00000403987.3	leukemia inhibitory factor 	55	1	0	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0181	0.1197	0.4991	-0.33	-0.37	0.19	2011
KDM5B	ENST00000367265.3	lysine (K)-specific demethylase 5B 	187	1	0	1	0	1	0	0	1	1	hsa-miR-18a-5p	0.0162	0.1094	0.4966	-0.33	-0.36	0.84	2005, 2007, 2009, 2011
BRWD3	ENST00000373275.4	bromodomain and WD repeat domain containing 3 	506	1	0	1	0	2	0	0	2	2	hsa-miR-18a-5p	0.0482	0.3138	1.4031	-0.33	-0.33	0.80	2005, 2007, 2009, 2011
TRIB2	ENST00000155926.4	tribbles pseudokinase 2 	68	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0156	0.1051	0.4665	-0.33	-0.33	0.53	2005, 2007, 2009, 2011
VAT1L	ENST00000302536.2	vesicle amine transport 1-like 	123	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0386	0.2337	0.7714	-0.33	-0.33	0.24	NULL
FRYL	ENST00000503238.1	FRY-like 	276	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0465	0.2770	0.9206	-0.33	-0.33	0.57	2007, 2009, 2011
FOXH1	ENST00000377317.4	forkhead box H1 	8	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0163	0.1098	0.4999	-0.33	-0.33	0.57	2011
BHLHE22	ENST00000321870.1	basic helix-loop-helix family, member e22 	27	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0167	0.1115	0.4859	-0.33	-0.33	0.48	2005, 2007, 2009, 2011
MANEAL	ENST00000397631.3	mannosidase, endo-alpha-like 	381	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0251	0.1598	0.5850	-0.32	-0.33	0.24	NULL
GTF2A1	ENST00000553612.1	general transcription factor IIA, 1, 19/37kDa 	88	1	0	1	0	1	0	0	1	1	hsa-miR-18a-5p	0.0122	0.0877	0.5538	-0.32	-0.35	0.26	NULL
PRDM6	ENST00000407847.4	PR domain containing 6 	69	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0249	0.1601	0.6125	-0.32	-0.32	0.82	NULL
SORBS2	ENST00000284776.7	sorbin and SH3 domain containing 2 	1279	1	1	0	0	0	0	0	0	0	hsa-miR-18a-5p	0.0531	0.2921	0.7758	-0.32	-0.34	0.73	2007, 2009, 2011
PHF2	ENST00000375376.4	PHD finger protein 2 	151	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0297	0.1869	0.6776	-0.31	-0.31	0.46	2005, 2007, 2009, 2011
CDK2	ENST00000266970.4	cyclin-dependent kinase 2 	6789	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0095	0.0674	0.3950	-0.31	-0.31	0.43	2009, 2011
TRPC4	ENST00000379705.3	transient receptor potential cation channel, subfamily C, member 4 	21	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0160	0.1081	0.4938	-0.31	-0.31	0.26	NULL
HRK	ENST00000257572.5	harakiri, BCL2 interacting protein (contains only BH3 domain) 	19	1	0	1	0	0	0	0	0	1	hsa-miR-18b-5p	0.0139	0.0954	0.4673	-0.31	-0.31	0.51	NULL
HCFC2	ENST00000229330.4	host cell factor C2 	46	2	1	1	0	0	0	0	0	2	hsa-miR-18a-5p	0.0840	0.3798	0.8886	-0.31	-0.79	0.90	2011
TRIOBP	ENST00000406386.3	TRIO and F-actin binding protein 	1545	1	0	1	0	0	0	0	0	1	hsa-miR-18a-5p	0.0369	0.2245	0.7492	-0.31	-0.31	0.84	2007, 2009, 2011
XYLT1	ENST00000261381.6	xylosyltransferase I 	159	1	0	1	0	1	0	1	0	0	hsa-miR-18a-5p	0.0274	0.1890	0.9816	-0.31	-0.31	0.42	2009, 2011
HMG20B	ENST00000333651.6	high mobility group 20B 	2035	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0102	0.0709	0.3670	-0.30	-0.30	0.66	2009, 2011
OTX1	ENST00000366671.3	orthodenticle homeobox 1 	11	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0166	0.1112	0.4871	-0.30	-0.30	0.31	2011
BMP2K	ENST00000335016.5	BMP2 inducible kinase 	164	1	0	1	0	1	0	1	0	1	hsa-miR-18a-5p	0.0195	0.1337	0.6718	-0.30	-0.31	0.29	NULL
TLL2	ENST00000357947.3	tolloid-like 2 	5	1	0	1	0	0	0	0	0	0	hsa-miR-18a-5p	0.0310	0.1977	0.7700	-0.30	-0.30	0.43	2011
