Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
RSF1	ENST00000308488.6	remodeling and spacing factor 1 	216	1	0	1	0	3	hsa-miR-627-3p				-0.80	-0.90	N/A
SAMD5	ENST00000367474.1	sterile alpha motif domain containing 5 	28	4	1	0	3	2	hsa-miR-627-3p				-0.76	-0.76	N/A
FAM209B	ENST00000371325.1	family with sequence similarity 209, member B 	5	1	1	0	0	0	hsa-miR-627-3p				-0.76	-0.76	N/A
ZNF286A	ENST00000395894.2	Zinc finger protein 286A  	19	3	1	1	1	5	hsa-miR-627-3p				-0.72	-0.72	N/A
TMEM232	ENST00000429839.2	transmembrane protein 232 	5	2	2	0	0	0	hsa-miR-627-3p				-0.72	-0.72	N/A
TMEM196	ENST00000405844.1	transmembrane protein 196 	5	2	1	0	1	2	hsa-miR-627-3p				-0.70	-0.70	N/A
AC064874.1	ENST00000409661.1	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-627-3p				-0.69	-0.69	N/A
ZKSCAN1	ENST00000324306.6	zinc finger with KRAB and SCAN domains 1 	1314	3	0	3	0	4	hsa-miR-627-3p				-0.68	-0.71	N/A
C21orf62	ENST00000536776.1	chromosome 21 open reading frame 62 	5	4	2	1	1	1	hsa-miR-627-3p				-0.67	-0.67	N/A
PLCXD3	ENST00000377801.3	phosphatidylinositol-specific phospholipase C, X domain containing 3 	81	2	0	1	1	3	hsa-miR-627-3p				-0.66	-0.67	N/A
PTN	ENST00000393083.2	pleiotrophin 	11	2	1	1	0	0	hsa-miR-627-3p				-0.66	-0.66	N/A
FBXW7	ENST00000281708.4	F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase 	12	3	1	0	2	2	hsa-miR-627-3p				-0.66	-0.66	N/A
PDS5A	ENST00000303538.8	PDS5, regulator of cohesion maintenance, homolog A (S. cerevisiae) 	1518	1	1	0	0	2	hsa-miR-627-3p				-0.66	-0.66	N/A
ZNF286B	ENST00000285274.5	zinc finger protein 286B 	5	3	0	1	2	5	hsa-miR-627-3p				-0.65	-0.65	N/A
ERBB4	ENST00000342788.4	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 	27	3	0	2	1	2	hsa-miR-627-3p				-0.64	-0.68	N/A
HOPX	ENST00000420433.1	HOP homeobox 	55	2	1	0	1	0	hsa-miR-627-3p				-0.63	-0.64	N/A
VBP1	ENST00000286428.5	von Hippel-Lindau binding protein 1 	2009	2	1	0	1	0	hsa-miR-627-3p				-0.63	-0.63	N/A
COL4A3BP	ENST00000380494.5	collagen, type IV, alpha 3 (Goodpasture antigen) binding protein 	134	2	1	1	0	4	hsa-miR-627-3p				-0.63	-0.72	N/A
CTNNA3	ENST00000433211.2	catenin (cadherin-associated protein), alpha 3 	5	5	1	2	2	1	hsa-miR-627-3p				-0.62	-0.62	N/A
KPNA5	ENST00000368564.1	karyopherin alpha 5 (importin alpha 6) 	76	1	1	0	0	2	hsa-miR-627-3p				-0.62	-0.69	N/A
GATA3	ENST00000379328.3	GATA binding protein 3 	136	2	2	0	0	0	hsa-miR-627-3p				-0.62	-0.62	N/A
KMT2A	ENST00000534358.1	lysine (K)-specific methyltransferase 2A 	1092	1	1	0	0	2	hsa-miR-627-3p				-0.60	-0.61	N/A
ZBTB37	ENST00000367701.5	zinc finger and BTB domain containing 37 	213	8	1	7	0	5	hsa-miR-627-3p				-0.60	-0.67	N/A
ZMAT1	ENST00000372782.3	zinc finger, matrin-type 1 	5	6	3	3	0	0	hsa-miR-627-3p				-0.58	-0.58	N/A
ZNF667	ENST00000591790.1	zinc finger protein 667 	24	3	0	3	0	2	hsa-miR-627-3p				-0.58	-0.58	N/A
GXYLT1	ENST00000398675.3	glucoside xylosyltransferase 1 	126	8	3	2	3	1	hsa-miR-627-3p				-0.58	-0.70	N/A
MGC10955	ENST00000401851.1		5	3	1	0	2	0	hsa-miR-627-3p				-0.58	-0.58	N/A
TERF2IP	ENST00000300086.4	telomeric repeat binding factor 2, interacting protein 	38	2	2	0	0	0	hsa-miR-627-3p				-0.57	-0.57	N/A
RAB30	ENST00000533486.1	RAB30, member RAS oncogene family 	274	6	1	4	1	3	hsa-miR-627-3p				-0.57	-0.78	N/A
FGF7	ENST00000267843.4	fibroblast growth factor 7 	5	2	2	0	0	2	hsa-miR-627-3p				-0.56	-0.56	N/A
ASCL1	ENST00000266744.3	achaete-scute complex homolog 1 (Drosophila) 	5	3	1	1	1	0	hsa-miR-627-3p				-0.56	-0.56	N/A
C17orf77	ENST00000392620.1	chromosome 17 open reading frame 77 	5	1	1	0	0	1	hsa-miR-627-3p				-0.56	-0.56	N/A
MINA	ENST00000333396.7	MYC induced nuclear antigen 	209	5	2	3	0	0	hsa-miR-627-3p				-0.55	-1.11	N/A
VNN3	ENST00000207771.3	vanin 3 	5	3	1	1	1	2	hsa-miR-627-3p				-0.54	-0.57	N/A
GUCY2C	ENST00000261170.3	guanylate cyclase 2C (heat stable enterotoxin receptor) 	5	1	1	0	0	0	hsa-miR-627-3p				-0.54	-0.54	N/A
KRAS	ENST00000256078.4	Kirsten rat sarcoma viral oncogene homolog 	40	2	1	0	1	0	hsa-miR-627-3p				-0.53	-0.56	N/A
ZNF141	ENST00000240499.7	zinc finger protein 141 	19	5	1	2	2	1	hsa-miR-627-3p				-0.53	-1.16	N/A
SPEF2	ENST00000509059.1	sperm flagellar 2 	35	1	1	0	0	2	hsa-miR-627-3p				-0.53	-0.53	N/A
NKAIN4	ENST00000370316.3	Na+/K+ transporting ATPase interacting 4 	5	2	1	1	0	0	hsa-miR-627-3p				-0.52	-0.52	N/A
HLA-DRB5	ENST00000374975.3	major histocompatibility complex, class II, DR beta 5 	5	1	1	0	0	1	hsa-miR-627-3p				-0.52	-0.52	N/A
IGF1	ENST00000337514.6	insulin-like growth factor 1 (somatomedin C) 	19	4	1	0	3	2	hsa-miR-627-3p				-0.52	-0.97	N/A
ERGIC2	ENST00000360150.4	ERGIC and golgi 2 	451	2	1	0	1	2	hsa-miR-627-3p				-0.51	-0.66	N/A
ALG11	ENST00000523764.1	ALG11, alpha-1,2-mannosyltransferase 	121	4	1	1	2	2	hsa-miR-627-3p				-0.51	-0.94	N/A
CAMK2N1	ENST00000375078.3	calcium/calmodulin-dependent protein kinase II inhibitor 1 	6631	4	1	1	2	1	hsa-miR-627-3p				-0.50	-0.61	N/A
AC018816.3	ENST00000449914.1	Uncharacterized protein  	11	1	1	0	0	0	hsa-miR-627-3p				-0.49	-0.49	N/A
CPE	ENST00000402744.4	carboxypeptidase E 	282	3	1	1	1	1	hsa-miR-627-3p				-0.49	-0.50	N/A
STXBP5L	ENST00000273666.6	syntaxin binding protein 5-like 	19	7	0	4	3	1	hsa-miR-627-3p				-0.49	-0.49	N/A
TBL1Y	ENST00000383032.1	transducin (beta)-like 1, Y-linked 	5	1	1	0	0	0	hsa-miR-627-3p				-0.49	-0.49	N/A
C13orf35	ENST00000356049.1	chromosome 13 open reading frame 35 	5	2	2	0	0	0	hsa-miR-627-3p				-0.49	-0.49	N/A
NDST3	ENST00000296499.5	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3 	5	2	2	0	0	1	hsa-miR-627-3p				-0.48	-0.48	N/A
ALG10B	ENST00000308742.4	ALG10B, alpha-1,2-glucosyltransferase 	471	2	1	0	1	5	hsa-miR-627-3p				-0.48	-0.53	N/A
ATRX	ENST00000373344.5	alpha thalassemia/mental retardation syndrome X-linked 	77	3	1	2	0	0	hsa-miR-627-3p				-0.48	-0.83	N/A
PWWP2B	ENST00000305233.5	PWWP domain containing 2B 	5	2	1	0	1	0	hsa-miR-627-3p				-0.48	-0.48	N/A
NFKBIZ	ENST00000394054.2	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, zeta 	236	2	2	0	0	0	hsa-miR-627-3p				-0.48	-0.48	N/A
C11orf63	ENST00000531316.1	chromosome 11 open reading frame 63 	38	1	1	0	0	0	hsa-miR-627-3p				-0.48	-0.48	N/A
RAB42	ENST00000373826.3	RAB42, member RAS oncogene family 	11	2	2	0	0	0	hsa-miR-627-3p				-0.48	-0.48	N/A
LRRC4C	ENST00000278198.2	leucine rich repeat containing 4C 	5	2	2	0	0	0	hsa-miR-627-3p				-0.48	-0.58	N/A
GBP7	ENST00000294671.2	guanylate binding protein 7 	5	2	1	1	0	0	hsa-miR-627-3p				-0.48	-0.48	N/A
CFHR4	ENST00000608469.1	complement factor H-related 4 	5	4	2	0	2	0	hsa-miR-627-3p				-0.47	-0.84	N/A
HSCB	ENST00000398941.2	HscB mitochondrial iron-sulfur cluster co-chaperone 	102	1	1	0	0	0	hsa-miR-627-3p				-0.47	-0.47	N/A
CSNK1G1	ENST00000303052.7	casein kinase 1, gamma 1 	149	4	1	1	2	1	hsa-miR-627-3p				-0.47	-0.47	N/A
PRKCB	ENST00000303531.7	protein kinase C, beta 	81	3	1	0	2	1	hsa-miR-627-3p				-0.47	-0.47	N/A
CTD-2510F5.6	ENST00000577660.1	Uncharacterized protein  	93	1	1	0	0	0	hsa-miR-627-3p				-0.47	-0.54	N/A
TNF	ENST00000449264.2	tumor necrosis factor 	5	1	1	0	0	0	hsa-miR-627-3p				-0.47	-0.47	N/A
CD180	ENST00000256447.4	CD180 molecule 	5	2	1	1	0	1	hsa-miR-627-3p				-0.47	-0.47	N/A
C1orf131	ENST00000318906.2	chromosome 1 open reading frame 131 	4176	1	1	0	0	3	hsa-miR-627-3p				-0.47	-0.47	N/A
TMEM213	ENST00000442682.2	transmembrane protein 213 	5	2	1	0	1	0	hsa-miR-627-3p				-0.47	-0.47	N/A
C5orf54	ENST00000408953.3	chromosome 5 open reading frame 54 	15	2	2	0	0	1	hsa-miR-627-3p				-0.47	-0.53	N/A
APOL4	ENST00000404685.3	apolipoprotein L, 4 	5	3	1	1	1	1	hsa-miR-627-3p				-0.47	-0.47	N/A
DPCR1	ENST00000462446.1	diffuse panbronchiolitis critical region 1 	5	1	1	0	0	2	hsa-miR-627-3p				-0.46	-0.46	N/A
NGLY1	ENST00000422724.2	N-glycanase 1 	31	3	1	2	0	0	hsa-miR-627-3p				-0.46	-0.46	N/A
SNAPC1	ENST00000216294.4	small nuclear RNA activating complex, polypeptide 1, 43kDa 	267	1	1	0	0	0	hsa-miR-627-3p				-0.46	-0.46	N/A
AL627171.2	ENST00000595378.1	HCG1786899; PRO2610; Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-627-3p				-0.46	-0.46	N/A
RIMS1	ENST00000348717.5	regulating synaptic membrane exocytosis 1 	45	1	1	0	0	2	hsa-miR-627-3p				-0.45	-0.55	N/A
WDPCP	ENST00000272321.7	WD repeat containing planar cell polarity effector 	92	3	2	1	0	0	hsa-miR-627-3p				-0.45	-0.66	N/A
CIR1	ENST00000362053.5	corepressor interacting with RBPJ, 1 	310	1	1	0	0	1	hsa-miR-627-3p				-0.45	-0.45	N/A
TMPRSS11BNL	ENST00000432593.3	TMPRSS11B N-terminal like 	5	2	1	0	1	0	hsa-miR-627-3p				-0.45	-0.45	N/A
ADD3	ENST00000277900.8	adducin 3 (gamma) 	537	3	1	1	1	0	hsa-miR-627-3p				-0.45	-0.45	N/A
FMN1	ENST00000334528.9	formin 1 	25	6	1	3	2	2	hsa-miR-627-3p				-0.44	-0.90	N/A
LSM5	ENST00000409987.1	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae) 	8380	1	1	0	0	0	hsa-miR-627-3p				-0.44	-0.44	N/A
ZNF23	ENST00000497160.1	zinc finger protein 23 	5	6	0	3	3	6	hsa-miR-627-3p				-0.44	-0.44	N/A
DGKH	ENST00000261491.5	diacylglycerol kinase, eta 	46	6	2	1	3	2	hsa-miR-627-3p				-0.44	-0.76	N/A
RP11-178C3.1	ENST00000591035.1	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-627-3p				-0.44	-0.44	N/A
DSP	ENST00000379802.3	desmoplakin 	4571	1	1	0	0	0	hsa-miR-627-3p				-0.44	-0.44	N/A
DIMT1	ENST00000199320.4	DIM1 dimethyladenosine transferase 1 homolog (S. cerevisiae) 	481	1	1	0	0	0	hsa-miR-627-3p				-0.43	-0.43	N/A
AC007390.5	ENST00000402297.1	HCG1988162; Uncharacterized protein  	223	2	1	0	1	1	hsa-miR-627-3p				-0.43	-0.43	N/A
POTEE	ENST00000358087.5	POTE ankyrin domain family, member E 	5	4	2	2	0	0	hsa-miR-627-3p				-0.43	-0.43	N/A
RBM12B-AS1	ENST00000391680.1	RBM12B antisense RNA 1 	5	1	1	0	0	0	hsa-miR-627-3p				-0.43	-0.43	N/A
NLN	ENST00000380985.5	neurolysin (metallopeptidase M3 family) 	885	1	1	0	0	1	hsa-miR-627-3p				-0.43	-0.54	N/A
USP51	ENST00000500968.3	ubiquitin specific peptidase 51 	26	2	0	1	1	2	hsa-miR-627-3p				-0.43	-0.43	N/A
VN1R1	ENST00000321039.3	vomeronasal 1 receptor 1 	12	5	3	1	1	0	hsa-miR-627-3p				-0.43	-0.81	N/A
C12orf79	ENST00000549802.1	chromosome 12 open reading frame 79 	5	3	2	1	0	1	hsa-miR-627-3p				-0.43	-0.43	N/A
ASXL2	ENST00000435504.4	additional sex combs like 2 (Drosophila) 	139	5	0	3	2	5	hsa-miR-627-3p				-0.43	-0.88	N/A
TAS2R30	ENST00000539585.1	taste receptor, type 2, member 30 	5	2	0	2	0	0	hsa-miR-627-3p				-0.42	-0.42	N/A
OTOR	ENST00000246081.2	otoraplin 	5	1	1	0	0	0	hsa-miR-627-3p				-0.42	-0.42	N/A
PIAS1	ENST00000249636.6	protein inhibitor of activated STAT, 1 	368	6	1	5	0	1	hsa-miR-627-3p				-0.42	-0.55	N/A
KIAA0087	ENST00000242109.3	KIAA0087 	5	2	0	1	1	1	hsa-miR-627-3p				-0.42	-0.42	N/A
NUP62CL	ENST00000372461.3	nucleoporin 62kDa C-terminal like 	73	2	1	0	1	1	hsa-miR-627-3p				-0.42	-0.45	N/A
PPIG	ENST00000260970.3	peptidylprolyl isomerase G (cyclophilin G) 	470	2	0	0	2	1	hsa-miR-627-3p				-0.41	-1.18	N/A
C3orf33	ENST00000534941.1	chromosome 3 open reading frame 33 	125	1	1	0	0	0	hsa-miR-627-3p				-0.41	-0.42	N/A
SULT1E1	ENST00000226444.3	sulfotransferase family 1E, estrogen-preferring, member 1 	5	1	1	0	0	0	hsa-miR-627-3p				-0.41	-0.41	N/A
COQ3	ENST00000254759.3	coenzyme Q3 methyltransferase 	108	1	1	0	0	0	hsa-miR-627-3p				-0.41	-0.42	N/A
PPM1K	ENST00000608933.1	protein phosphatase, Mg2+/Mn2+ dependent, 1K 	46	2	2	0	0	0	hsa-miR-627-3p				-0.41	-0.41	N/A
RBM41	ENST00000372487.1	RNA binding motif protein 41 	41	3	1	1	1	1	hsa-miR-627-3p				-0.41	-0.47	N/A
TAF1D	ENST00000448108.2	TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa 	132	3	0	1	2	0	hsa-miR-627-3p				-0.41	-0.46	N/A
CYLC2	ENST00000374798.3	cylicin, basic protein of sperm head cytoskeleton 2 	5	1	1	0	0	1	hsa-miR-627-3p				-0.41	-0.41	N/A
PCDH9	ENST00000377861.3	protocadherin 9 	102	5	2	1	2	0	hsa-miR-627-3p				-0.41	-0.81	N/A
HILPDA	ENST00000257696.4	hypoxia inducible lipid droplet-associated 	431	1	1	0	0	0	hsa-miR-627-3p				-0.41	-0.41	N/A
C10orf32	ENST00000339834.5	chromosome 10 open reading frame 32 	642	3	0	2	1	1	hsa-miR-627-3p				-0.41	-0.56	N/A
PCK1	ENST00000319441.4	phosphoenolpyruvate carboxykinase 1 (soluble) 	5	1	1	0	0	1	hsa-miR-627-3p				-0.41	-0.41	N/A
SAMD12	ENST00000409003.4	sterile alpha motif domain containing 12 	57	3	2	1	0	4	hsa-miR-627-3p				-0.41	-0.41	N/A
SLC22A9	ENST00000310969.4	solute carrier family 22 (organic anion transporter), member 9 	188	3	2	1	0	0	hsa-miR-627-3p				-0.40	-0.64	N/A
GLS	ENST00000338435.4	glutaminase 	1927	2	1	1	0	0	hsa-miR-627-3p				-0.40	-0.41	N/A
ZCCHC9	ENST00000254037.2	zinc finger, CCHC domain containing 9 	831	1	1	0	0	0	hsa-miR-627-3p				-0.40	-0.40	N/A
HECTD2	ENST00000371667.1	HECT domain containing E3 ubiquitin protein ligase 2 	1514	1	1	0	0	3	hsa-miR-627-3p				-0.40	-0.41	N/A
IBTK	ENST00000306270.7	inhibitor of Bruton agammaglobulinemia tyrosine kinase 	40	3	1	1	1	0	hsa-miR-627-3p				-0.40	-0.40	N/A
SKIL	ENST00000458537.3	SKI-like oncogene 	210	5	0	3	2	0	hsa-miR-627-3p				-0.40	-0.60	N/A
SKAP2	ENST00000345317.2	src kinase associated phosphoprotein 2 	1085	3	1	0	2	1	hsa-miR-627-3p				-0.40	-0.40	N/A
ATP5G2	ENST00000602871.1	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9) 	93	1	1	0	0	0	hsa-miR-627-3p				-0.39	-0.46	N/A
CCNT1	ENST00000261900.3	cyclin T1 	86	3	2	0	1	3	hsa-miR-627-3p				-0.39	-0.57	N/A
LIMS1	ENST00000393310.1	LIM and senescent cell antigen-like domains 1 	68	1	1	0	0	0	hsa-miR-627-3p				-0.39	-0.39	N/A
TMEM207	ENST00000354905.2	transmembrane protein 207 	5	3	1	1	1	1	hsa-miR-627-3p				-0.39	-0.39	N/A
TMEM154	ENST00000304385.3	transmembrane protein 154 	5	2	1	0	1	5	hsa-miR-627-3p				-0.39	-0.39	N/A
ZNF846	ENST00000586293.1	zinc finger protein 846 	10	5	0	5	0	4	hsa-miR-627-3p				-0.39	-0.45	N/A
UGT2B28	ENST00000511240.1	UDP glucuronosyltransferase 2 family, polypeptide B28 	5	2	1	1	0	0	hsa-miR-627-3p				-0.39	-0.39	N/A
MIEN1	ENST00000577810.1	migration and invasion enhancer 1 	140	1	1	0	0	0	hsa-miR-627-3p				-0.39	-0.39	N/A
CD200R1L	ENST00000398214.1	CD200 receptor 1-like 	5	1	1	0	0	0	hsa-miR-627-3p				-0.39	-0.39	N/A
SMIM9	ENST00000369529.1	small integral membrane protein 9 	5	1	1	0	0	0	hsa-miR-627-3p				-0.38	-0.38	N/A
ACAP2	ENST00000326793.6	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2 	253	3	1	1	1	1	hsa-miR-627-3p				-0.38	-0.45	N/A
ANAPC10	ENST00000507656.1	anaphase promoting complex subunit 10 	46	3	2	0	1	0	hsa-miR-627-3p				-0.38	-0.71	N/A
ZNF429	ENST00000358491.4	zinc finger protein 429 	23	3	1	2	0	2	hsa-miR-627-3p				-0.38	-0.38	N/A
POTEC	ENST00000358970.5	POTE ankyrin domain family, member C 	0	1	1	0	0	0	hsa-miR-627-3p				-0.38	-0.38	N/A
ANKRD20A1	ENST00000377477.2	ankyrin repeat domain 20 family, member A1 	5	2	2	0	0	0	hsa-miR-627-3p				-0.38	-0.38	N/A
GBP4	ENST00000355754.6	guanylate binding protein 4 	5	2	1	1	0	0	hsa-miR-627-3p				-0.38	-0.38	N/A
ANKRD20A2	ENST00000377601.2	ankyrin repeat domain 20 family, member A2 	5	2	2	0	0	0	hsa-miR-627-3p				-0.38	-0.38	N/A
HTR1F	ENST00000319595.4	5-hydroxytryptamine (serotonin) receptor 1F, G protein-coupled 	5	1	1	0	0	1	hsa-miR-627-3p				-0.38	-0.38	N/A
CYB5A	ENST00000299438.9	cytochrome b5 type A (microsomal) 	549	1	1	0	0	0	hsa-miR-627-3p				-0.38	-0.38	N/A
FKBP14	ENST00000222803.5	FK506 binding protein 14, 22 kDa 	939	3	2	1	0	2	hsa-miR-627-3p				-0.38	-0.41	N/A
AMACR	ENST00000335606.6	alpha-methylacyl-CoA racemase 	308	2	1	1	0	0	hsa-miR-627-3p				-0.38	-0.44	N/A
EBI3	ENST00000221847.5	Epstein-Barr virus induced 3 	5	1	1	0	0	0	hsa-miR-627-3p				-0.38	-0.38	N/A
ZNF544	ENST00000599227.1	zinc finger protein 544 	173	4	0	4	0	4	hsa-miR-627-3p				-0.38	-0.38	N/A
KCNQ3	ENST00000388996.4	potassium voltage-gated channel, KQT-like subfamily, member 3 	5	2	0	0	2	1	hsa-miR-627-3p				-0.38	-0.38	N/A
CEACAM5	ENST00000221992.6	carcinoembryonic antigen-related cell adhesion molecule 5 	5	2	2	0	0	0	hsa-miR-627-3p				-0.38	-0.38	N/A
FAM172A	ENST00000395965.3	family with sequence similarity 172, member A 	257	2	0	1	1	1	hsa-miR-627-3p				-0.37	-0.46	N/A
CNOT4	ENST00000541284.1	CCR4-NOT transcription complex, subunit 4 	27	2	1	0	1	0	hsa-miR-627-3p				-0.37	-0.37	N/A
NHS	ENST00000380060.3	Nance-Horan syndrome (congenital cataracts and dental anomalies) 	72	2	0	1	1	3	hsa-miR-627-3p				-0.37	-0.37	N/A
DIRAS3	ENST00000370981.1	DIRAS family, GTP-binding RAS-like 3 	163	2	0	1	1	0	hsa-miR-627-3p				-0.37	-0.37	N/A
MRPS34	ENST00000177742.3	mitochondrial ribosomal protein S34 	189	1	1	0	0	0	hsa-miR-627-3p				-0.37	-0.39	N/A
PKIA	ENST00000396418.2	protein kinase (cAMP-dependent, catalytic) inhibitor alpha 	542	4	2	1	1	4	hsa-miR-627-3p				-0.37	-0.74	N/A
CREG2	ENST00000324768.5	cellular repressor of E1A-stimulated genes 2 	38	4	1	0	3	2	hsa-miR-627-3p				-0.37	-0.53	N/A
CISD2	ENST00000273986.4	CDGSH iron sulfur domain 2 	13	5	2	3	0	1	hsa-miR-627-3p				-0.37	-0.63	N/A
HESX1	ENST00000295934.3	HESX homeobox 1 	58	1	1	0	0	0	hsa-miR-627-3p				-0.37	-0.46	N/A
DMTF1	ENST00000413276.2	cyclin D binding myb-like transcription factor 1 	198	2	0	2	0	0	hsa-miR-627-3p				-0.37	-0.37	N/A
BLOC1S1	ENST00000549147.1	biogenesis of lysosomal organelles complex-1, subunit 1 	429	2	0	2	0	0	hsa-miR-627-3p				-0.37	-0.37	N/A
C2orf40	ENST00000238044.3	chromosome 2 open reading frame 40 	5	1	0	1	0	0	hsa-miR-627-3p				-0.37	-0.37	N/A
ZMYM6NB	ENST00000373337.3	ZMYM6 neighbor 	984	1	1	0	0	0	hsa-miR-627-3p				-0.37	-0.37	N/A
SNX5	ENST00000377759.4	sorting nexin 5 	715	1	1	0	0	1	hsa-miR-627-3p				-0.37	-0.37	N/A
SIPA1L1	ENST00000555818.1	signal-induced proliferation-associated 1 like 1 	291	1	1	0	0	0	hsa-miR-627-3p				-0.36	-0.36	N/A
ZFP69B	ENST00000484445.1	ZFP69 zinc finger protein B 	176	2	2	0	0	4	hsa-miR-627-3p				-0.36	-0.37	N/A
PSMD10	ENST00000372296.1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 	44	2	1	0	1	0	hsa-miR-627-3p				-0.36	-0.41	N/A
FAM196B	ENST00000377365.3	family with sequence similarity 196, member B 	174	3	2	0	1	0	hsa-miR-627-3p				-0.36	-0.39	N/A
PHACTR2	ENST00000427704.2	phosphatase and actin regulator 2 	274	2	1	1	0	6	hsa-miR-627-3p				-0.36	-0.40	N/A
MED6	ENST00000440435.2	mediator complex subunit 6 	776	5	2	3	0	0	hsa-miR-627-3p				-0.36	-0.56	N/A
C7orf76	ENST00000356686.1	chromosome 7 open reading frame 76 	5	2	1	1	0	0	hsa-miR-627-3p				-0.36	-0.36	N/A
PPP2R2B	ENST00000394413.3	protein phosphatase 2, regulatory subunit B, beta 	24	1	1	0	0	0	hsa-miR-627-3p				-0.36	-0.36	N/A
LIMS3L	ENST00000413601.2	LIM and senescent cell antigen-like domains 3-like 	5	1	1	0	0	1	hsa-miR-627-3p				-0.36	-0.36	N/A
ADAMTS3	ENST00000286657.4	ADAM metallopeptidase with thrombospondin type 1 motif, 3 	5	3	1	2	0	0	hsa-miR-627-3p				-0.35	-0.35	N/A
AC007461.1	ENST00000602013.1	Uncharacterized protein  	7	4	1	2	1	0	hsa-miR-627-3p				-0.35	-0.66	N/A
C1GALT1	ENST00000223122.3	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 	44	2	2	0	0	0	hsa-miR-627-3p				-0.35	-0.35	N/A
AC119673.1	ENST00000598338.1		5	1	0	1	0	0	hsa-miR-627-3p				-0.35	-0.35	N/A
PHF20L1	ENST00000395386.2	PHD finger protein 20-like 1 	169	1	0	0	1	3	hsa-miR-627-3p				-0.35	-0.80	N/A
