Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
DDIT4	ENST00000307365.3	DNA-damage-inducible transcript 4 	2454	1	1	0	0	1	0	1	0	1	hsa-miR-22-3p	0.1139	0.6027	1.7422	-0.78	-0.98	0.88	2009, 2011
FUT9	ENST00000302103.5	fucosyltransferase 9 (alpha (1,3) fucosyltransferase) 	5	2	1	1	0	1	0	0	1	4	hsa-miR-22-3p	0.4028	1.5604	3.7259	-0.77	-0.77	0.95	2007, 2009, 2011
LIN7C	ENST00000278193.2	lin-7 homolog C (C. elegans) 	1701	1	1	0	0	1	0	0	1	0	hsa-miR-22-3p	0.1621	0.6586	1.3305	-0.73	-0.75	0.89	2005, 2007, 2009, 2011
H3F3B	ENST00000591890.1	H3 histone, family 3B (H3.3B) 	336	1	1	0	0	1	0	1	0	2	hsa-miR-22-3p	0.1056	0.5402	1.4235	-0.72	-1.13	0.92	2005, 2007, 2009, 2011
NET1	ENST00000355029.4	neuroepithelial cell transforming 1 	73	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.2561	0.7719	1.3144	-0.70	-0.70	0.90	2005, 2007, 2009, 2011
OGN	ENST00000262551.4	osteoglycin 	5	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.1802	0.7078	1.4387	-0.70	-0.70	0.76	2005, 2007, 2009, 2011
CYTH3	ENST00000350796.3	cytohesin 3 	248	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.1809	0.6728	1.3503	-0.69	-0.69	0.90	2005, 2007, 2009, 2011
SYNE1	ENST00000367255.5	spectrin repeat containing, nuclear envelope 1 	144	1	0	1	0	2	0	2	0	0	hsa-miR-22-3p	0.2531	1.3873	4.9552	-0.69	-0.69	0.69	NULL
IKZF4	ENST00000262032.5	IKAROS family zinc finger 4 (Eos) 	329	2	0	2	0	0	0	0	0	0	hsa-miR-22-3p	0.2404	0.9935	1.7322	-0.67	-0.69	0.77	2007, 2009, 2011
ESR1	ENST00000440973.1	estrogen receptor 1 	5	1	1	0	0	2	0	1	1	2	hsa-miR-22-3p	0.2108	1.0410	2.7041	-0.67	-0.67	0.92	2005, 2007, 2009, 2011
RGS2	ENST00000235382.5	regulator of G-protein signaling 2, 24kDa 	321	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0706	0.3594	0.8057	-0.67	-0.67	0.54	2005, 2007, 2009, 2011
ASB6	ENST00000277459.4	ankyrin repeat and SOCS box containing 6 	725	2	0	2	0	1	0	1	0	2	hsa-miR-22-3p	0.0965	0.5990	2.2000	-0.66	-0.66	0.64	2009, 2011
IL31	ENST00000377035.1	interleukin 31 	5	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0562	0.3098	0.8263	-0.66	-0.66	< 0.1	2011
ACER3	ENST00000532485.1	alkaline ceramidase 3 	295	1	1	0	0	2	1	0	1	0	hsa-miR-22-3p	0.1916	0.8972	2.1780	-0.66	-0.75	0.52	2009, 2011
ELOVL6	ENST00000394607.3	ELOVL fatty acid elongase 6 	901	2	0	1	1	2	1	1	0	0	hsa-miR-22-3p	0.1753	0.7253	1.6513	-0.66	-0.89	0.94	2005, 2007, 2011
FRAT2	ENST00000371019.2	frequently rearranged in advanced T-cell lymphomas 2 	120	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1901	0.6384	1.0347	-0.65	-0.68	0.81	2009, 2011
ARRB1	ENST00000420843.2	arrestin, beta 1 	598	2	1	1	0	1	0	1	0	0	hsa-miR-22-3p	0.1952	0.6913	1.1946	-0.65	-0.80	0.93	2005, 2007, 2009, 2011
PRPF38A	ENST00000257181.9	pre-mRNA processing factor 38A 	892	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0805	0.3988	0.8984	-0.64	-0.64	0.89	2007, 2009, 2011
CD207	ENST00000410009.3	CD207 molecule, langerin 	5	1	0	1	0	1	1	0	0	1	hsa-miR-22-3p	0.1028	0.5677	1.7435	-0.63	-0.63	0.50	NULL
FAM49B	ENST00000519824.2	family with sequence similarity 49, member B 	52	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1512	0.5699	0.9215	-0.63	-0.63	0.90	2005, 2007, 2009, 2011
MTHFR	ENST00000376592.1	methylenetetrahydrofolate reductase (NAD(P)H) 	207	1	1	0	0	4	0	3	1	2	hsa-miR-22-3p	0.2354	0.8304	1.8596	-0.62	-0.97	0.92	2011
UNK	ENST00000293218.3	unkempt homolog (Drosophila) 	124	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.1268	0.6545	2.1167	-0.62	-0.62	0.87	2007, 2009, 2011
WDR82	ENST00000296490.3	WD repeat domain 82 	319	2	1	1	0	0	0	0	0	1	hsa-miR-22-3p	0.2053	0.8152	1.9627	-0.61	-0.65	0.93	2007, 2009, 2011
SLC16A14	ENST00000295190.4	solute carrier family 16, member 14 	34	1	1	0	0	1	0	0	1	0	hsa-miR-22-3p	0.2156	0.7949	1.6417	-0.61	-0.61	0.76	2011
LRRC73	ENST00000372441.1	leucine rich repeat containing 73 	5	2	0	2	0	0	0	0	0	0	hsa-miR-22-3p	0.0548	0.3468	1.2989	-0.60	-0.60	0.66	2009, 2011
A4GNT	ENST00000236709.3	alpha-1,4-N-acetylglucosaminyltransferase 	5	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0450	0.2585	0.7203	-0.60	-0.60	< 0.1	NULL
ENO1	ENST00000234590.4	enolase 1, (alpha) 	1269	1	0	1	0	1	0	1	0	0	hsa-miR-22-3p	0.0537	0.3347	1.1851	-0.60	-0.60	0.57	2009, 2011
CYR61	ENST00000451137.2	cysteine-rich, angiogenic inducer, 61 	2690	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1330	0.5705	1.2143	-0.60	-0.60	0.83	2009, 2011
TRPM7	ENST00000560955.1	transient receptor potential cation channel, subfamily M, member 7 	281	2	0	2	0	0	0	0	0	0	hsa-miR-22-3p	0.1682	0.8245	1.8622	-0.59	-0.59	0.96	2011
SLC35E4	ENST00000343605.4	solute carrier family 35, member E4 	15	2	1	1	0	0	0	0	0	0	hsa-miR-22-3p	0.0845	0.4880	1.4901	-0.59	-0.59	0.86	2009, 2011
C5orf24	ENST00000394976.3	chromosome 5 open reading frame 24 	2668	1	1	0	0	1	0	0	1	1	hsa-miR-22-3p	0.1483	0.6438	1.5582	-0.59	-0.62	0.85	2009, 2011
NUS1	ENST00000368494.3	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae) 	302	1	0	1	0	1	0	1	0	1	hsa-miR-22-3p	0.2366	1.0688	2.2883	-0.58	-0.58	0.65	2011
RFXANK	ENST00000353145.1	regulatory factor X-associated ankyrin-containing protein 	2548	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.2097	0.6770	1.0579	-0.57	-0.57	0.55	2011
PLCXD3	ENST00000377801.3	phosphatidylinositol-specific phospholipase C, X domain containing 3 	81	1	1	0	0	1	0	0	1	0	hsa-miR-22-3p	0.1723	0.6711	1.3610	-0.57	-0.57	0.90	2005, 2007, 2009, 2011
ARPC5	ENST00000359856.6	actin related protein 2/3 complex, subunit 5, 16kDa 	677	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0678	0.3527	0.9344	-0.57	-0.68	0.50	2009, 2011
CAV3	ENST00000343849.2	caveolin 3 	5	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0764	0.3795	0.8188	-0.56	-0.56	0.90	2011
TRIB2	ENST00000155926.4	tribbles pseudokinase 2 	68	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0550	0.3468	1.2770	-0.56	-0.56	0.33	2005, 2007, 2009, 2011
ZNF740	ENST00000416904.3	zinc finger protein 740 	2137	2	0	2	0	0	0	0	0	0	hsa-miR-22-3p	0.1314	0.6615	1.5738	-0.56	-0.56	0.77	2007, 2009, 2011
ATP8A1	ENST00000381668.5	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 	48	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.1088	0.6113	2.0508	-0.56	-0.60	0.55	2009, 2011
EMILIN3	ENST00000332312.3	elastin microfibril interfacer 3 	12	2	0	2	0	1	0	1	0	0	hsa-miR-22-3p	0.1329	0.7522	2.3333	-0.56	-0.56	0.91	2005, 2007, 2009, 2011
ODF1	ENST00000518835.1	outer dense fiber of sperm tails 1 	5	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.0328	0.2004	0.6494	-0.56	-0.56	0.56	2005, 2007, 2009, 2011
SCYL3	ENST00000367771.6	SCY1-like 3 (S. cerevisiae) 	124	2	0	2	0	0	0	0	0	0	hsa-miR-22-3p	0.1936	0.7926	1.5887	-0.56	-0.60	0.75	2011
MPZL3	ENST00000278949.4	myelin protein zero-like 3 	59	1	1	0	0	1	0	1	0	0	hsa-miR-22-3p	0.0927	0.5090	1.4030	-0.55	-0.56	0.45	NULL
SIRT1	ENST00000212015.6	sirtuin 1 	220	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.2159	0.6900	1.1237	-0.55	-0.56	0.86	2005, 2007, 2009, 2011
GHRHR	ENST00000409316.1	growth hormone releasing hormone receptor 	5	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0167	0.1140	0.5513	-0.54	-0.54	0.11	2009
YWHAZ	ENST00000395957.2	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide 	184	1	1	0	0	0	0	0	0	2	hsa-miR-22-3p	0.2202	0.7011	1.1158	-0.54	-0.55	0.88	2009, 2011
CBL	ENST00000264033.4	Cbl proto-oncogene, E3 ubiquitin protein ligase 	309	3	1	0	2	3	0	2	1	1	hsa-miR-22-3p	0.1812	1.0829	3.8460	-0.54	-0.54	0.91	2011
KCNK12	ENST00000327876.4	potassium channel, subfamily K, member 12 	5	1	1	0	0	2	0	2	0	2	hsa-miR-22-3p	0.1671	0.8997	2.5390	-0.54	-0.54	0.49	NULL
FTL	ENST00000331825.6	ferritin, light polypeptide 	9158	1	0	1	0	0	0	0	0	1	hsa-miR-22-3p	0.0530	0.3071	0.8961	-0.53	-0.61	0.57	2005, 2007, 2009, 2011
FAM83F	ENST00000333407.6	family with sequence similarity 83, member F 	5	1	1	0	0	5	0	2	3	7	hsa-miR-22-3p	0.2233	1.4510	6.3903	-0.53	-0.53	0.60	NULL
XXbac-BPG32J3.20	ENST00000461287.1		1251	1	0	1	0	1	0	1	0	1	hsa-miR-22-3p	0.0741	0.4452	1.5968	-0.52	-0.52	< 0.1	NULL
PPM1K	ENST00000608933.1	protein phosphatase, Mg2+/Mn2+ dependent, 1K 	46	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1285	0.5564	1.2208	-0.52	-0.52	0.67	2009, 2011
SNAI1	ENST00000244050.2	snail family zinc finger 1 	486	1	1	0	0	1	0	1	0	0	hsa-miR-22-3p	0.0445	0.2793	1.0454	-0.52	-0.52	0.20	2009, 2011
CCNJL	ENST00000393977.3	cyclin J-like 	66	1	1	0	0	1	0	1	0	2	hsa-miR-22-3p	0.1019	0.5559	1.7934	-0.51	-0.74	0.74	2009, 2011
IL13RA1	ENST00000371666.3	interleukin 13 receptor, alpha 1 	494	1	0	1	0	1	0	1	0	0	hsa-miR-22-3p	0.0846	0.4545	1.1485	-0.51	-0.65	0.75	2005, 2007, 2009, 2011
PTEN	ENST00000371953.3	phosphatase and tensin homolog 	118	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.1944	0.6734	1.2492	-0.51	-0.53	0.90	2011
COPS7B	ENST00000373608.3	COP9 signalosome subunit 7B 	331	2	0	2	0	1	0	1	0	0	hsa-miR-22-3p	0.0935	0.5534	1.7589	-0.51	-0.51	0.82	2005, 2007, 2009, 2011
DPM2	ENST00000314392.8	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit 	1667	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.1142	0.4945	0.9441	-0.51	-0.51	0.52	2009, 2011
TMEM229B	ENST00000557006.1	transmembrane protein 229B 	5	1	0	1	0	1	0	1	0	1	hsa-miR-22-3p	0.0755	0.4758	1.9346	-0.51	-0.51	0.54	2009, 2011
AC007375.1	ENST00000600936.1	Uncharacterized protein; cDNA FLJ43210 fis, clone FEBRA2020582  	7	2	0	2	0	1	0	1	0	4	hsa-miR-22-3p	0.0764	0.4816	1.9123	-0.51	-0.55	0.83	NULL
APBB2	ENST00000295974.8	amyloid beta (A4) precursor protein-binding, family B, member 2 	704	2	0	0	2	1	0	1	0	1	hsa-miR-22-3p	0.0852	0.5205	1.8251	-0.51	-0.55	0.81	2005, 2007, 2009, 2011
RIMS4	ENST00000372851.3	regulating synaptic membrane exocytosis 4 	30	2	1	1	0	0	0	0	0	2	hsa-miR-22-3p	0.1431	0.6713	1.7904	-0.50	-0.50	0.93	2005, 2007, 2009, 2011
EPB41L2	ENST00000531410.1	erythrocyte membrane protein band 4.1-like 2 	353	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.1412	0.5880	1.2560	-0.50	-0.51	0.57	2009, 2011
FBXO46	ENST00000317683.3	F-box protein 46 	197	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1437	0.5831	1.1670	-0.50	-0.50	0.88	2007, 2009, 2011
LGALS1	ENST00000215909.5	lectin, galactoside-binding, soluble, 1 	50186	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.0738	0.4189	1.2393	-0.50	-0.50	0.62	2005, 2007, 2011
IL17RD	ENST00000296318.7	interleukin 17 receptor D 	108	3	1	2	0	0	0	0	0	1	hsa-miR-22-3p	0.1226	0.6569	1.8985	-0.49	-0.51	0.94	2005, 2007, 2009, 2011
KLF6	ENST00000542957.1	Kruppel-like factor 6 	4644	3	0	0	3	1	0	0	1	0	hsa-miR-22-3p	0.0726	0.4602	1.6917	-0.49	-0.51	0.85	2011
ANKRD13A	ENST00000261739.4	ankyrin repeat domain 13A 	1644	1	1	0	0	1	0	0	1	0	hsa-miR-22-3p	0.2010	0.7076	1.3903	-0.49	-0.49	0.83	2007, 2009, 2011
GATM	ENST00000396659.3	glycine amidinotransferase (L-arginine:glycine amidinotransferase) 	586	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.1452	0.5815	1.1284	-0.49	-0.49	0.61	2009, 2011
CENPV	ENST00000476243.1	centromere protein V 	102	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.0492	0.2805	0.8034	-0.49	-0.49	0.57	2005, 2007, 2009, 2011
DAW1	ENST00000373666.2	dynein assembly factor with WDR repeat domains 1 	82	1	0	1	0	0	0	0	0	1	hsa-miR-22-3p	0.0542	0.3268	1.1536	-0.49	-0.49	< 0.1	NULL
AK2	ENST00000467905.1	adenylate kinase 2 	3125	1	0	1	0	1	0	1	0	0	hsa-miR-22-3p	0.1338	0.6647	1.5555	-0.49	-0.49	0.48	NULL
NHP2	ENST00000314397.4	NHP2 ribonucleoprotein 	77	1	0	1	0	0	0	0	0	1	hsa-miR-22-3p	0.0555	0.3145	0.9125	-0.49	-0.51	0.51	2011
DNAJB5	ENST00000545841.1	DnaJ (Hsp40) homolog, subfamily B, member 5 	379	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1507	0.5677	0.9090	-0.48	-0.48	0.81	2005, 2007, 2009, 2011
TYRO3	ENST00000263798.3	TYRO3 protein tyrosine kinase 	70	2	0	2	0	0	0	0	0	1	hsa-miR-22-3p	0.1701	0.7766	2.0811	-0.48	-0.48	0.96	2005, 2007, 2009, 2011
ANKHD1-EIF4EBP3	ENST00000532219.1	ANKHD1-EIF4EBP3 readthrough 	54	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.2140	0.8197	2.0927	-0.48	-0.48	0.85	2009
CDX2	ENST00000381020.7	caudal type homeobox 2 	563	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.0563	0.3113	0.8418	-0.48	-0.48	0.14	2005, 2007, 2011
LRCH1	ENST00000311191.6	leucine-rich repeats and calponin homology (CH) domain containing 1 	381	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1497	0.5979	1.2100	-0.48	-0.48	0.77	2011
CSF1R	ENST00000286301.3	colony stimulating factor 1 receptor 	5	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1329	0.5467	1.0474	-0.47	-0.47	0.83	2005, 2007, 2009, 2011
FBXL19	ENST00000338343.4	F-box and leucine-rich repeat protein 19 	75	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1057	0.4962	1.1805	-0.47	-0.47	0.81	2009, 2011
ERBB3	ENST00000267101.3	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 3 	926	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.2604	0.7824	1.4165	-0.47	-0.47	0.90	2005, 2007, 2009, 2011
BTG1	ENST00000256015.3	B-cell translocation gene 1, anti-proliferative 	1677	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.0921	0.4297	0.8668	-0.47	-0.47	0.89	2005, 2007, 2009, 2011
VASP	ENST00000245932.6	vasodilator-stimulated phosphoprotein 	1627	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0303	0.1952	0.7914	-0.47	-0.47	0.31	2005, 2007, 2009
FMNL2	ENST00000475377.2	formin-like 2 	31	1	0	1	0	0	0	0	0	1	hsa-miR-22-3p	0.1628	0.6445	1.2910	-0.46	-0.47	0.54	2011
TRUB1	ENST00000298746.3	TruB pseudouridine (psi) synthase family member 1 	1035	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0654	0.3431	0.8249	-0.46	-0.46	0.51	2005, 2007, 2009, 2011
TTC31	ENST00000410003.1	tetratricopeptide repeat domain 31 	132	1	0	1	0	1	0	1	0	0	hsa-miR-22-3p	0.0994	0.5644	1.6320	-0.46	-0.46	0.39	NULL
CATSPERG	ENST00000215069.4	catsper channel auxiliary subunit gamma 	5	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.0382	0.2509	1.1297	-0.46	-0.46	< 0.1	NULL
LZIC	ENST00000377223.1	leucine zipper and CTNNBIP1 domain containing 	508	2	2	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1582	0.6015	1.2985	-0.46	-1.16	0.81	NULL
RBM15	ENST00000369784.3	RNA binding motif protein 15 	5	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.1700	0.6319	1.1886	-0.46	-0.46	0.67	2007, 2009, 2011
NCOA1	ENST00000405141.1	nuclear receptor coactivator 1 	200	2	0	1	1	0	0	0	0	0	hsa-miR-22-3p	0.1159	0.6289	2.0943	-0.46	-0.46	0.51	2009, 2011
DPY30	ENST00000342166.5	dpy-30 homolog (C. elegans) 	935	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.0456	0.2608	0.7227	-0.46	-0.46	0.46	2005, 2007
NTRK2	ENST00000395882.1	neurotrophic tyrosine kinase, receptor, type 2 	48	1	1	0	0	1	0	1	0	2	hsa-miR-22-3p	0.1019	0.6167	2.2193	-0.46	-0.46	0.38	2011
IRF5	ENST00000402030.2	interferon regulatory factor 5 	7	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.0531	0.3111	0.9835	-0.46	-0.46	0.59	2009, 2011
DNAJC27	ENST00000264711.2	DnaJ (Hsp40) homolog, subfamily C, member 27 	41	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.0947	0.4566	1.2009	-0.46	-0.56	0.52	2011
ADAT2	ENST00000606514.1	adenosine deaminase, tRNA-specific 2 	303	1	0	0	1	2	0	1	1	0	hsa-miR-22-3p	0.0424	0.2772	1.1391	-0.45	-0.59	0.53	2005, 2007, 2009, 2011
RIC8B	ENST00000392837.4	RIC8 guanine nucleotide exchange factor B 	49	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.0775	0.4408	1.4466	-0.45	-0.45	0.58	2007, 2009, 2011
PDIK1L	ENST00000374271.4	PDLIM1 interacting kinase 1 like 	5	2	0	1	1	0	0	0	0	0	hsa-miR-22-3p	0.0756	0.4368	1.4403	-0.45	-0.45	0.74	2005, 2007, 2009, 2011
PHF8	ENST00000338946.6	PHD finger protein 8 	85	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1658	0.6222	1.2545	-0.45	-0.49	0.89	2005, 2007, 2009, 2011
BRWD3	ENST00000373275.4	bromodomain and WD repeat domain containing 3 	506	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.2099	0.7353	1.5181	-0.44	-0.44	0.90	2011
LAMC1	ENST00000258341.4	laminin, gamma 1 (formerly LAMB2) 	1082	2	0	2	0	1	0	1	0	0	hsa-miR-22-3p	0.1680	0.8219	2.1475	-0.44	-0.62	0.72	2005, 2007, 2009, 2011
MSL2	ENST00000309993.2	male-specific lethal 2 homolog (Drosophila) 	175	1	1	0	0	0	0	0	0	1	hsa-miR-22-3p	0.1234	0.5664	1.3985	-0.44	-0.44	0.90	2007, 2009, 2011
LTB4R	ENST00000396789.4	leukotriene B4 receptor 	70	1	0	1	0	0	0	0	0	2	hsa-miR-22-3p	0.0608	0.3844	1.4875	-0.44	-0.46	0.48	2011
NUDT4	ENST00000337179.5	nudix (nucleoside diphosphate linked moiety X)-type motif 4 	41	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.0482	0.2724	0.7345	-0.44	-0.44	0.70	2005, 2007, 2009, 2011
RPS3	ENST00000278572.6	ribosomal protein S3 	1585	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.0702	0.3651	0.8855	-0.44	-0.44	0.52	NULL
KDM3A	ENST00000409556.1	lysine (K)-specific demethylase 3A 	2300	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.1097	0.5557	1.5962	-0.44	-0.44	0.97	2005, 2007, 2009, 2011
RAPGEFL1	ENST00000264644.6	Rap guanine nucleotide exchange factor (GEF)-like 1 	20	1	1	0	0	0	0	0	0	2	hsa-miR-22-3p	0.1197	0.5597	1.4216	-0.44	-0.44	0.84	2005, 2007, 2009, 2011
MOCS1	ENST00000373186.4	molybdenum cofactor synthesis 1 	179	1	1	0	0	2	0	2	0	1	hsa-miR-22-3p	0.0477	0.3159	1.4662	-0.44	-0.56	0.13	2011
PRCD	ENST00000592014.1	progressive rod-cone degeneration 	5	2	0	2	0	1	0	1	0	2	hsa-miR-22-3p	0.0232	0.1542	0.6851	-0.44	-1.13	0.88	2007, 2009
LAS1L	ENST00000312391.8	LAS1-like (S. cerevisiae) 	26	1	0	1	0	1	0	1	0	1	hsa-miR-22-3p	0.0559	0.3320	1.1441	-0.44	-0.44	< 0.1	NULL
MAPK14	ENST00000229795.3	mitogen-activated protein kinase 14 	1191	1	0	1	0	1	0	1	0	1	hsa-miR-22-3p	0.1570	0.6068	1.2083	-0.44	-0.49	0.68	2005, 2007, 2009, 2011
WARS2	ENST00000369426.5	tryptophanyl tRNA synthetase 2, mitochondrial 	205	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.1015	0.4660	0.9812	-0.43	-0.43	0.46	2009, 2011
PPP1R15B	ENST00000367188.4	protein phosphatase 1, regulatory subunit 15B 	2154	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.1790	0.6571	1.2753	-0.43	-0.43	0.87	2005, 2007, 2009, 2011
WRNIP1	ENST00000380769.4	Werner helicase interacting protein 1 	931	1	0	1	0	0	0	0	0	1	hsa-miR-22-3p	0.0839	0.4106	0.9184	-0.43	-0.47	0.76	2005, 2007
GBA	ENST00000368373.3	glucosidase, beta, acid 	27	1	0	1	0	1	0	1	0	4	hsa-miR-22-3p	0.0887	0.5559	2.1871	-0.43	-0.47	0.77	NULL
PROX1	ENST00000366958.4	prospero homeobox 1 	131	1	1	0	0	0	0	0	0	2	hsa-miR-22-3p	0.1209	0.5263	1.1294	-0.43	-0.45	0.87	NULL
SEPHS1	ENST00000545675.1	selenophosphate synthetase 1 	281	1	0	1	0	1	0	1	0	3	hsa-miR-22-3p	0.1690	0.7143	1.8448	-0.43	-0.66	0.94	2005, 2007, 2009, 2011
NYAP2	ENST00000272907.6	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2 	5	1	1	0	0	0	0	0	0	0	hsa-miR-22-3p	0.1594	0.5982	1.0468	-0.43	-0.43	0.90	2009, 2011
MFGE8	ENST00000539437.1	milk fat globule-EGF factor 8 protein 	404	1	0	1	0	0	0	0	0	0	hsa-miR-22-3p	0.0595	0.3386	1.0314	-0.43	-0.43	0.60	2009, 2011
ZBTB39	ENST00000300101.2	zinc finger and BTB domain containing 39 	7	1	1	0	0	1	0	1	0	1	hsa-miR-22-3p	0.1640	0.8576	2.4644	-0.42	-0.42	0.48	2007, 2009, 2011
