Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
ZNF782	ENST00000481138.1	zinc finger protein 782 	8	1	1	0	0	0	hsa-let-7d-3p				-0.47	-0.47	N/A
EIF3E	ENST00000220849.5	eukaryotic translation initiation factor 3, subunit E 	906	1	0	0	1	0	hsa-let-7d-3p				-0.47	-0.47	N/A
ZNF486	ENST00000335117.8	zinc finger protein 486 	10	2	0	1	1	0	hsa-let-7d-3p				-0.47	-0.47	N/A
CTSV	ENST00000259470.5	cathepsin V 	601	1	0	1	0	0	hsa-let-7d-3p				-0.47	-0.47	N/A
LSR	ENST00000354900.3	lipolysis stimulated lipoprotein receptor 	55	1	0	0	1	0	hsa-let-7d-3p				-0.47	-0.47	N/A
FSD2	ENST00000334574.8	fibronectin type III and SPRY domain containing 2 	5	2	1	0	1	0	hsa-let-7d-3p				-0.46	-0.46	N/A
SRP19	ENST00000282999.3	signal recognition particle 19kDa 	243	1	0	0	1	1	hsa-let-7d-3p				-0.46	-0.46	N/A
EXOSC7	ENST00000265564.7	exosome component 7 	347	1	0	1	0	1	hsa-let-7d-3p				-0.43	-0.55	N/A
ZNF672	ENST00000306562.3	zinc finger protein 672 	189	1	1	0	0	0	hsa-let-7d-3p				-0.43	-0.43	N/A
TMEM163	ENST00000281924.6	transmembrane protein 163 	24	1	0	0	1	1	hsa-let-7d-3p				-0.43	-0.45	N/A
DGKI	ENST00000453654.2	diacylglycerol kinase, iota 	16	1	1	0	0	0	hsa-let-7d-3p				-0.40	-0.40	N/A
FAM219A	ENST00000379089.1	family with sequence similarity 219, member A 	13	1	1	0	0	0	hsa-let-7d-3p				-0.40	-0.40	N/A
RIBC2	ENST00000342894.3	RIB43A domain with coiled-coils 2 	10	1	0	0	1	0	hsa-let-7d-3p				-0.40	-0.40	N/A
CYP27C1	ENST00000335247.7	cytochrome P450, family 27, subfamily C, polypeptide 1 	5	1	0	0	1	1	hsa-let-7d-3p				-0.40	-0.40	N/A
ARL14	ENST00000320767.2	ADP-ribosylation factor-like 14 	5	1	0	0	1	0	hsa-let-7d-3p				-0.39	-0.39	N/A
ZIC1	ENST00000282928.4	Zic family member 1 	26	2	1	1	0	1	hsa-let-7d-3p				-0.39	-0.72	N/A
ZNF611	ENST00000543227.1	zinc finger protein 611 	7	1	1	0	0	1	hsa-let-7d-3p				-0.39	-0.43	N/A
UFM1	ENST00000239878.4	ubiquitin-fold modifier 1 	1502	1	0	1	0	0	hsa-let-7d-3p				-0.39	-0.39	N/A
DSC1	ENST00000257197.3	desmocollin 1 	7	1	1	0	0	0	hsa-let-7d-3p				-0.38	-0.38	N/A
CNIH1	ENST00000395573.4	cornichon family AMPA receptor auxiliary protein 1 	2182	1	0	0	1	0	hsa-let-7d-3p				-0.38	-0.38	N/A
CLEC3A	ENST00000299642.4	C-type lectin domain family 3, member A 	5	1	0	1	0	0	hsa-let-7d-3p				-0.38	-0.38	N/A
TLR4	ENST00000355622.6	toll-like receptor 4 	47	1	1	0	0	0	hsa-let-7d-3p				-0.38	-0.38	N/A
NOM1	ENST00000275820.3	nucleolar protein with MIF4G domain 1 	842	1	1	0	0	0	hsa-let-7d-3p				-0.37	-0.44	N/A
C1orf145	ENST00000295012.5	chromosome 1 open reading frame 145 	5	1	0	0	1	0	hsa-let-7d-3p				-0.37	-0.37	N/A
MBTD1	ENST00000586178.1	mbt domain containing 1 	113	1	1	0	0	0	hsa-let-7d-3p				-0.36	-0.36	N/A
GRPEL2	ENST00000416916.2	GrpE-like 2, mitochondrial (E. coli) 	79	1	1	0	0	0	hsa-let-7d-3p				-0.35	-0.42	N/A
GLYAT	ENST00000344743.3	glycine-N-acyltransferase 	5	1	0	0	1	0	hsa-let-7d-3p				-0.35	-0.35	N/A
CDNF	ENST00000378442.1	cerebral dopamine neurotrophic factor 	6	1	0	0	1	0	hsa-let-7d-3p				-0.35	-0.35	N/A
TBC1D5	ENST00000253692.7	TBC1 domain family, member 5 	400	1	1	0	0	0	hsa-let-7d-3p				-0.35	-0.41	N/A
WDR96	ENST00000369720.1	WD repeat domain 96 	10	1	0	1	0	0	hsa-let-7d-3p				-0.34	-0.34	N/A
PSMD10	ENST00000372296.1	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 	44	1	0	1	0	0	hsa-let-7d-3p				-0.34	-0.34	N/A
ADH7	ENST00000437033.2	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide 	5	1	0	0	1	0	hsa-let-7d-3p				-0.34	-0.34	N/A
NRG3	ENST00000372142.2	neuregulin 3 	27	1	1	0	0	0	hsa-let-7d-3p				-0.34	-0.38	N/A
LINC00999	ENST00000423687.1	long intergenic non-protein coding RNA 999 	5	1	0	1	0	0	hsa-let-7d-3p				-0.34	-0.34	N/A
TMEM26	ENST00000399298.3	transmembrane protein 26 	10	1	0	0	1	1	hsa-let-7d-3p				-0.34	-0.38	N/A
BEND6	ENST00000370750.2	BEN domain containing 6 	11	1	0	1	0	0	hsa-let-7d-3p				-0.34	-0.34	N/A
TMEM231	ENST00000258173.6	transmembrane protein 231 	243	2	0	1	1	0	hsa-let-7d-3p				-0.34	-0.48	N/A
F2RL2	ENST00000296641.4	coagulation factor II (thrombin) receptor-like 2 	5	1	0	1	0	0	hsa-let-7d-3p				-0.34	-0.34	N/A
RCAN1	ENST00000482533.1	regulator of calcineurin 1 	715	1	0	1	0	0	hsa-let-7d-3p				-0.33	-0.33	N/A
NUP85	ENST00000447371.2	nucleoporin 85kDa 	1999	1	0	1	0	0	hsa-let-7d-3p				-0.33	-0.33	N/A
ZNF623	ENST00000501748.2	zinc finger protein 623 	247	1	1	0	0	0	hsa-let-7d-3p				-0.33	-0.44	N/A
ZNF90	ENST00000418063.2	zinc finger protein 90 	5	1	0	0	1	0	hsa-let-7d-3p				-0.33	-0.33	N/A
CCDC6	ENST00000263102.6	coiled-coil domain containing 6 	193	1	0	1	0	0	hsa-let-7d-3p				-0.33	-0.35	N/A
CDKL4	ENST00000378803.1	cyclin-dependent kinase-like 4 	5	1	0	1	0	0	hsa-let-7d-3p				-0.33	-0.33	N/A
NCMAP	ENST00000374392.2	noncompact myelin associated protein 	17	1	0	0	1	0	hsa-let-7d-3p				-0.33	-0.33	N/A
A4GNT	ENST00000236709.3	alpha-1,4-N-acetylglucosaminyltransferase 	5	1	0	0	1	0	hsa-let-7d-3p				-0.32	-0.32	N/A
SNRPF	ENST00000266735.5	small nuclear ribonucleoprotein polypeptide F 	286	1	0	0	1	0	hsa-let-7d-3p				-0.32	-0.47	N/A
GLIPR1	ENST00000266659.3	GLI pathogenesis-related 1 	623	1	1	0	0	0	hsa-let-7d-3p				-0.32	-0.55	N/A
ZNF627	ENST00000588174.1	zinc finger protein 627 	105	1	0	1	0	0	hsa-let-7d-3p				-0.32	-0.32	N/A
ZSCAN12	ENST00000361028.1	zinc finger and SCAN domain containing 12 	117	1	1	0	0	0	hsa-let-7d-3p				-0.32	-0.32	N/A
TMEM117	ENST00000551577.1	transmembrane protein 117 	381	1	0	1	0	0	hsa-let-7d-3p				-0.32	-0.34	N/A
F11	ENST00000264692.4	coagulation factor XI 	5	1	0	1	0	0	hsa-let-7d-3p				-0.32	-0.32	N/A
ZNF841	ENST00000594295.1	zinc finger protein 841 	21	1	1	0	0	0	hsa-let-7d-3p				-0.32	-0.43	N/A
MKRN1	ENST00000255977.2	makorin ring finger protein 1 	5	1	0	0	1	0	hsa-let-7d-3p				-0.32	-0.32	N/A
GRB2	ENST00000392563.1	growth factor receptor-bound protein 2 	2660	1	0	1	0	1	hsa-let-7d-3p				-0.31	-0.32	N/A
C7orf41	ENST00000324453.8	chromosome 7 open reading frame 41 	235	1	0	0	1	0	hsa-let-7d-3p				-0.31	-0.31	N/A
ISCA2	ENST00000554924.1	iron-sulfur cluster assembly 2 	135	1	0	0	1	0	hsa-let-7d-3p				-0.31	-0.33	N/A
SDPR	ENST00000304141.4	serum deprivation response 	38	1	0	1	0	0	hsa-let-7d-3p				-0.31	-0.31	N/A
FYTTD1	ENST00000241502.4	forty-two-three domain containing 1 	891	1	0	0	1	0	hsa-let-7d-3p				-0.31	-0.31	N/A
CHRNA9	ENST00000310169.2	cholinergic receptor, nicotinic, alpha 9 (neuronal) 	20	1	0	1	0	0	hsa-let-7d-3p				-0.31	-0.31	N/A
CDH11	ENST00000394156.3	cadherin 11, type 2, OB-cadherin (osteoblast) 	448	1	0	0	1	0	hsa-let-7d-3p				-0.31	-0.31	N/A
TFAM	ENST00000487519.1	transcription factor A, mitochondrial 	1323	1	0	0	1	0	hsa-let-7d-3p				-0.31	-0.32	N/A
FAM193B	ENST00000514747.1	family with sequence similarity 193, member B 	77	1	0	0	1	0	hsa-let-7d-3p				-0.31	-0.31	N/A
CT62	ENST00000566432.1	cancer/testis antigen 62 	5	1	0	0	1	0	hsa-let-7d-3p				-0.31	-0.31	N/A
ARHGEF10	ENST00000520359.1	Rho guanine nucleotide exchange factor (GEF) 10 	326	1	1	0	0	0	hsa-let-7d-3p				-0.30	-0.34	N/A
RLN2	ENST00000308420.3	relaxin 2 	20	1	1	0	0	0	hsa-let-7d-3p				-0.30	-0.73	N/A
RAD52	ENST00000358495.3	RAD52 homolog (S. cerevisiae) 	86	1	0	1	0	0	hsa-let-7d-3p				-0.30	-0.32	N/A
OTUD6A	ENST00000338352.2	OTU domain containing 6A 	5	1	0	0	1	0	hsa-let-7d-3p				-0.30	-0.30	N/A
GAS1	ENST00000298743.7	growth arrest-specific 1 	2904	1	0	1	0	0	hsa-let-7d-3p				-0.30	-0.30	N/A
SLC17A4	ENST00000377905.4	solute carrier family 17, member 4 	5	1	0	0	1	0	hsa-let-7d-3p				-0.30	-0.30	N/A
LHX1	ENST00000254457.5	LIM homeobox 1 	15	1	0	0	1	0	hsa-let-7d-3p				-0.30	-0.30	N/A
PPP4R1	ENST00000400556.3	protein phosphatase 4, regulatory subunit 1 	665	1	0	0	1	0	hsa-let-7d-3p				-0.30	-0.30	N/A
DTNA	ENST00000283365.9	dystrobrevin, alpha 	144	1	1	0	0	0	hsa-let-7d-3p				-0.30	-0.30	N/A
LPL	ENST00000311322.8	lipoprotein lipase 	7658	1	0	0	1	0	hsa-let-7d-3p				-0.30	-0.30	N/A
EXOC8	ENST00000360394.2	exocyst complex component 8 	129	1	0	0	1	1	hsa-let-7d-3p				-0.29	-0.29	N/A
FUBP3	ENST00000319725.9	far upstream element (FUSE) binding protein 3 	121	1	0	0	1	0	hsa-let-7d-3p				-0.29	-0.30	N/A
RETSAT	ENST00000295802.4	retinol saturase (all-trans-retinol 13,14-reductase) 	2045	1	0	0	1	0	hsa-let-7d-3p				-0.29	-0.29	N/A
ZNF331	ENST00000253144.9	zinc finger protein 331 	553	1	0	1	0	0	hsa-let-7d-3p				-0.29	-0.29	N/A
RGS7BP	ENST00000334025.2	regulator of G-protein signaling 7 binding protein 	5	1	0	1	0	0	hsa-let-7d-3p				-0.29	-0.29	N/A
SLC13A1	ENST00000194130.2	solute carrier family 13 (sodium/sulfate symporter), member 1 	5	1	0	1	0	0	hsa-let-7d-3p				-0.29	-0.29	N/A
C11orf44	ENST00000317019.2	chromosome 11 open reading frame 44 	5	1	0	0	1	0	hsa-let-7d-3p				-0.29	-0.29	N/A
TTC26	ENST00000430935.1	tetratricopeptide repeat domain 26 	211	1	1	0	0	0	hsa-let-7d-3p				-0.29	-0.45	N/A
AC022498.1	ENST00000392468.2	Uncharacterized protein  	5	1	0	0	1	0	hsa-let-7d-3p				-0.29	-0.29	N/A
COX19	ENST00000344111.3	cytochrome c oxidase assembly homolog 19 (S. cerevisiae) 	734	1	0	1	0	0	hsa-let-7d-3p				-0.29	-0.35	N/A
MSH3	ENST00000265081.6	mutS homolog 3 	443	1	0	0	1	1	hsa-let-7d-3p				-0.29	-0.34	N/A
CEND1	ENST00000330106.4	cell cycle exit and neuronal differentiation 1 	28	1	0	0	1	0	hsa-let-7d-3p				-0.29	-0.29	N/A
CASD1	ENST00000297273.4	CAS1 domain containing 1 	270	1	0	1	0	0	hsa-let-7d-3p				-0.28	-0.35	N/A
CMTM6	ENST00000205636.3	CKLF-like MARVEL transmembrane domain containing 6 	169	1	0	1	0	0	hsa-let-7d-3p				-0.28	-0.30	N/A
IL1RN	ENST00000361779.3	interleukin 1 receptor antagonist 	19	1	0	1	0	0	hsa-let-7d-3p				-0.28	-0.28	N/A
HPGD	ENST00000296522.6	hydroxyprostaglandin dehydrogenase 15-(NAD) 	140	1	1	0	0	0	hsa-let-7d-3p				-0.28	-0.58	N/A
TDRP	ENST00000324079.6	testis development related protein 	235	1	0	0	1	0	hsa-let-7d-3p				-0.28	-0.30	N/A
GPR88	ENST00000315033.4	G protein-coupled receptor 88 	5	1	0	1	0	0	hsa-let-7d-3p				-0.28	-0.28	N/A
RASSF8	ENST00000541490.1	Ras association (RalGDS/AF-6) domain family (N-terminal) member 8 	1290	1	0	1	0	0	hsa-let-7d-3p				-0.28	-0.28	N/A
PLD5	ENST00000536534.2	phospholipase D family, member 5 	5	1	1	0	0	0	hsa-let-7d-3p				-0.28	-0.28	N/A
SSH3	ENST00000376757.5	slingshot protein phosphatase 3 	159	1	0	0	1	0	hsa-let-7d-3p				-0.27	-0.27	N/A
AUTS2	ENST00000342771.4	autism susceptibility candidate 2 	198	1	1	0	0	0	hsa-let-7d-3p				-0.27	-0.42	N/A
SIDT1	ENST00000264852.4	SID1 transmembrane family, member 1 	5	1	0	0	1	0	hsa-let-7d-3p				-0.27	-0.27	N/A
RBFOX1	ENST00000355637.4	RNA binding protein, fox-1 homolog (C. elegans) 1 	5	1	0	0	1	0	hsa-let-7d-3p				-0.27	-0.27	N/A
GPX8	ENST00000296734.6	glutathione peroxidase 8 (putative) 	2107	1	1	0	0	0	hsa-let-7d-3p				-0.27	-0.59	N/A
ZIK1	ENST00000307468.4	zinc finger protein interacting with K protein 1 	64	1	0	0	1	0	hsa-let-7d-3p				-0.27	-0.38	N/A
PM20D2	ENST00000275072.4	peptidase M20 domain containing 2 	2171	1	0	1	0	0	hsa-let-7d-3p				-0.27	-0.27	N/A
NFASC	ENST00000401399.1	neurofascin 	10	1	0	0	1	0	hsa-let-7d-3p				-0.27	-0.27	N/A
ATMIN	ENST00000299575.4	ATM interactor 	129	1	0	0	1	0	hsa-let-7d-3p				-0.27	-0.27	N/A
PRKAR1A	ENST00000589228.1	protein kinase, cAMP-dependent, regulatory, type I, alpha 	1257	1	0	0	1	0	hsa-let-7d-3p				-0.26	-0.28	N/A
ARL15	ENST00000502271.1	ADP-ribosylation factor-like 15 	119	1	0	1	0	0	hsa-let-7d-3p				-0.26	-0.33	N/A
CTU1	ENST00000421832.2	cytosolic thiouridylase subunit 1 	170	1	0	1	0	1	hsa-let-7d-3p				-0.26	-0.28	N/A
AL033381.1	ENST00000314040.1	Uncharacterized protein; cDNA FLJ34594 fis, clone KIDNE2009109  	5	1	0	0	1	0	hsa-let-7d-3p				-0.26	-0.26	N/A
CNGB3	ENST00000320005.5	cyclic nucleotide gated channel beta 3 	5	1	0	0	1	0	hsa-let-7d-3p				-0.26	-0.26	N/A
ZNF616	ENST00000330123.5	zinc finger protein 616 	45	1	0	0	1	0	hsa-let-7d-3p				-0.26	-0.29	N/A
VEZF1	ENST00000584396.1	vascular endothelial zinc finger 1 	209	1	0	0	1	0	hsa-let-7d-3p				-0.26	-0.26	N/A
ATG16L1	ENST00000392017.4	autophagy related 16-like 1 (S. cerevisiae) 	552	1	0	0	1	0	hsa-let-7d-3p				-0.26	-0.26	N/A
EYA1	ENST00000388742.4	eyes absent homolog 1 (Drosophila) 	222	1	0	0	1	0	hsa-let-7d-3p				-0.26	-0.26	N/A
TMPRSS11D	ENST00000283916.6	transmembrane protease, serine 11D 	5	1	0	0	1	0	hsa-let-7d-3p				-0.25	-0.25	N/A
TRIM64B	ENST00000329862.6	tripartite motif containing 64B 	5	1	0	1	0	0	hsa-let-7d-3p				-0.25	-0.25	N/A
YY1	ENST00000262238.4	YY1 transcription factor 	1803	1	0	1	0	0	hsa-let-7d-3p				-0.25	-0.25	N/A
XRN1	ENST00000264951.4	5'-3' exoribonuclease 1 	612	1	1	0	0	0	hsa-let-7d-3p				-0.25	-0.26	N/A
ZCCHC6	ENST00000277141.6	zinc finger, CCHC domain containing 6 	20	1	0	0	1	0	hsa-let-7d-3p				-0.25	-0.25	N/A
NUDT19	ENST00000397061.3	nudix (nucleoside diphosphate linked moiety X)-type motif 19 	341	1	0	0	1	0	hsa-let-7d-3p				-0.25	-0.25	N/A
CYB5RL	ENST00000419823.2	cytochrome b5 reductase-like 	7	1	0	1	0	0	hsa-let-7d-3p				-0.24	-0.24	N/A
ZNF24	ENST00000589881.1	zinc finger protein 24 	1796	2	0	1	1	0	hsa-let-7d-3p				-0.24	-0.47	N/A
RSPH10B2	ENST00000359718.3	radial spoke head 10 homolog B2 (Chlamydomonas) 	5	1	0	0	1	0	hsa-let-7d-3p				-0.24	-0.24	N/A
GOLGA8G	ENST00000329523.6	golgin A8 family, member G 	5	1	0	1	0	0	hsa-let-7d-3p				-0.24	-0.24	N/A
LRIT2	ENST00000372113.4	leucine-rich repeat, immunoglobulin-like and transmembrane domains 2 	5	1	0	0	1	0	hsa-let-7d-3p				-0.24	-0.24	N/A
ERC2	ENST00000288221.6	ELKS/RAB6-interacting/CAST family member 2 	11	1	1	0	0	0	hsa-let-7d-3p				-0.24	-0.24	N/A
CTD-2054N24.2	ENST00000559714.1	Uncharacterized protein  	21	1	0	0	1	1	hsa-let-7d-3p				-0.24	-0.32	N/A
PEX5L	ENST00000467460.1	peroxisomal biogenesis factor 5-like 	5	1	0	0	1	0	hsa-let-7d-3p				-0.24	-0.24	N/A
PRICKLE3	ENST00000376317.3	prickle homolog 3 (Drosophila) 	117	1	0	1	0	0	hsa-let-7d-3p				-0.24	-0.41	N/A
PTAR1	ENST00000377200.5	protein prenyltransferase alpha subunit repeat containing 1 	161	1	0	1	0	0	hsa-let-7d-3p				-0.23	-0.23	N/A
GOLGA8F	ENST00000526619.2	golgin A8 family, member F 	5	1	0	1	0	0	hsa-let-7d-3p				-0.23	-0.23	N/A
AL117190.3	ENST00000599197.1	Esophagus cancer-related gene-2 interaction susceptibility protein; Uncharacterized protein  	30	1	1	0	0	0	hsa-let-7d-3p				-0.23	-0.28	N/A
CLEC5A	ENST00000546910.1	C-type lectin domain family 5, member A 	5	1	0	1	0	0	hsa-let-7d-3p				-0.23	-0.23	N/A
KLF6	ENST00000542957.1	Kruppel-like factor 6 	4644	1	0	0	1	0	hsa-let-7d-3p				-0.23	-0.23	N/A
URM1	ENST00000372850.1	ubiquitin related modifier 1 	345	1	0	1	0	0	hsa-let-7d-3p				-0.23	-0.24	N/A
MTMR6	ENST00000381801.5	myotubularin related protein 6 	838	1	0	0	1	0	hsa-let-7d-3p				-0.23	-0.23	N/A
KCNT2	ENST00000367433.5	potassium channel, subfamily T, member 2 	5	1	0	1	0	0	hsa-let-7d-3p				-0.23	-0.23	N/A
SPOPL	ENST00000280098.4	speckle-type POZ protein-like 	216	1	0	0	1	0	hsa-let-7d-3p				-0.23	-0.25	N/A
ZNF605	ENST00000360187.4	zinc finger protein 605 	147	1	0	0	1	0	hsa-let-7d-3p				-0.23	-0.23	N/A
CLDN16	ENST00000264734.2	claudin 16 	25	1	0	1	0	0	hsa-let-7d-3p				-0.23	-0.23	N/A
GATA4	ENST00000335135.4	GATA binding protein 4 	5	1	0	1	0	0	hsa-let-7d-3p				-0.23	-0.23	N/A
ZFP69B	ENST00000484445.1	ZFP69 zinc finger protein B 	176	1	0	1	0	0	hsa-let-7d-3p				-0.22	-0.27	N/A
KIAA0754	ENST00000530275.1	KIAA0754 	5	1	0	0	1	0	hsa-let-7d-3p				-0.22	-0.22	N/A
CEP170	ENST00000366542.1	centrosomal protein 170kDa 	6	1	0	0	1	0	hsa-let-7d-3p				-0.22	-0.22	N/A
LETMD1	ENST00000380123.2	LETM1 domain containing 1 	1619	1	0	1	0	0	hsa-let-7d-3p				-0.22	-0.22	N/A
ACTR1B	ENST00000289228.5	ARP1 actin-related protein 1 homolog B, centractin beta (yeast) 	5716	1	0	1	0	0	hsa-let-7d-3p				-0.22	-0.22	N/A
SLC36A1	ENST00000243389.3	solute carrier family 36 (proton/amino acid symporter), member 1 	236	1	0	0	1	0	hsa-let-7d-3p				-0.22	-0.22	N/A
SPRY3	ENST00000302805.2	sprouty homolog 3 (Drosophila) 	5	1	0	0	1	1	hsa-let-7d-3p				-0.22	-0.22	N/A
GAS7	ENST00000437099.2	growth arrest-specific 7 	186	1	0	1	0	0	hsa-let-7d-3p				-0.22	-0.22	N/A
FAM133B	ENST00000438306.1	family with sequence similarity 133, member B 	32	1	0	1	0	0	hsa-let-7d-3p				-0.22	-0.22	N/A
FMR1	ENST00000370471.3	fragile X mental retardation 1 	1155	1	0	1	0	0	hsa-let-7d-3p				-0.22	-0.22	N/A
C3orf72	ENST00000383165.3	chromosome 3 open reading frame 72 	11	1	1	0	0	0	hsa-let-7d-3p				-0.22	-0.43	N/A
RAB2B	ENST00000397762.1	RAB2B, member RAS oncogene family 	171	1	0	0	1	0	hsa-let-7d-3p				-0.22	-0.22	N/A
TTC9	ENST00000256367.2	tetratricopeptide repeat domain 9 	39	1	0	1	0	0	hsa-let-7d-3p				-0.21	-0.21	N/A
RSPH10B	ENST00000539903.1	radial spoke head 10 homolog B (Chlamydomonas) 	5	1	0	0	1	0	hsa-let-7d-3p				-0.21	-0.21	N/A
WDR82	ENST00000296490.3	WD repeat domain 82 	319	1	0	0	1	0	hsa-let-7d-3p				-0.21	-0.23	N/A
IMPG1	ENST00000369963.3	interphotoreceptor matrix proteoglycan 1 	5	1	0	0	1	0	hsa-let-7d-3p				-0.21	-0.21	N/A
BCL10	ENST00000370580.1	B-cell CLL/lymphoma 10 	2090	1	0	1	0	0	hsa-let-7d-3p				-0.21	-0.22	N/A
PWP1	ENST00000412830.3	PWP1 homolog (S. cerevisiae) 	163	1	0	0	1	0	hsa-let-7d-3p				-0.21	-0.33	N/A
MYO9A	ENST00000564571.1	myosin IXA 	137	1	0	0	1	0	hsa-let-7d-3p				-0.21	-0.22	N/A
GTF3C3	ENST00000263956.3	general transcription factor IIIC, polypeptide 3, 102kDa 	248	1	0	0	1	0	hsa-let-7d-3p				-0.21	-0.34	N/A
APPL1	ENST00000288266.3	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1 	908	1	0	1	0	1	hsa-let-7d-3p				-0.21	-0.32	N/A
ZNF302	ENST00000505365.2	zinc finger protein 302 	13	1	0	1	0	0	hsa-let-7d-3p				-0.21	-0.21	N/A
AMMECR1	ENST00000262844.5	Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1 	5	1	0	1	0	0	hsa-let-7d-3p				-0.21	-0.21	N/A
PI15	ENST00000260113.2	peptidase inhibitor 15 	12	1	0	0	1	0	hsa-let-7d-3p				-0.21	-0.21	N/A
COMMD2	ENST00000473414.1	COMM domain containing 2 	833	1	0	1	0	0	hsa-let-7d-3p				-0.20	-0.28	N/A
DGKB	ENST00000403951.2	diacylglycerol kinase, beta 90kDa 	5	1	0	0	1	0	hsa-let-7d-3p				-0.20	-0.20	N/A
BNC1	ENST00000345382.2	basonuclin 1 	6	1	0	0	1	0	hsa-let-7d-3p				-0.20	-0.20	N/A
AHCTF1	ENST00000366508.1	AT hook containing transcription factor 1 	5	1	0	0	1	0	hsa-let-7d-3p				-0.20	-0.20	N/A
SS18L1	ENST00000331758.3	synovial sarcoma translocation gene on chromosome 18-like 1 	274	1	0	0	1	0	hsa-let-7d-3p				-0.20	-0.26	N/A
MESDC2	ENST00000261758.4	mesoderm development candidate 2 	1433	1	0	1	0	0	hsa-let-7d-3p				-0.20	-0.24	N/A
GLS	ENST00000338435.4	glutaminase 	1927	1	0	1	0	0	hsa-let-7d-3p				-0.20	-0.21	N/A
LSM11	ENST00000286307.5	LSM11, U7 small nuclear RNA associated 	1458	1	0	0	1	1	hsa-let-7d-3p				-0.20	-0.21	N/A
GOLGA6L9	ENST00000300515.8	golgin A6 family-like 9 	5	1	0	0	1	0	hsa-let-7d-3p				-0.20	-0.20	N/A
