Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
PRR20B	ENST00000377930.1	proline rich 20B 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.53	-0.53	N/A
PRR20D	ENST00000452123.3	proline rich 20D 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.53	-0.53	N/A
PRR20E	ENST00000434815.1	proline rich 20E 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.53	-0.53	N/A
PRR20C	ENST00000544357.2	proline rich 20C 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.53	-0.53	N/A
PRR20A	ENST00000377931.1	proline rich 20A 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.53	-0.53	N/A
ZNF431	ENST00000311048.7	zinc finger protein 431 	93	5	2	0	3	1	hsa-miR-4742-3p				-0.53	-1.77	N/A
DROSHA	ENST00000511367.2	drosha, ribonuclease type III 	3272	2	1	0	1	0	hsa-miR-4742-3p				-0.53	-0.58	N/A
OXR1	ENST00000312046.6	oxidation resistance 1 	27	3	1	2	0	0	hsa-miR-4742-3p				-0.52	-0.52	N/A
SCUBE2	ENST00000457346.2	signal peptide, CUB domain, EGF-like 2 	57	1	1	0	0	0	hsa-miR-4742-3p				-0.52	-0.52	N/A
ARID4B	ENST00000349213.3	AT rich interactive domain 4B (RBP1-like) 	940	2	1	1	0	0	hsa-miR-4742-3p				-0.52	-0.52	N/A
DCLRE1C	ENST00000378289.4	DNA cross-link repair 1C 	29	2	1	1	0	0	hsa-miR-4742-3p				-0.52	-0.52	N/A
RGPD1	ENST00000559485.1	RANBP2-like and GRIP domain containing 1 	5	2	0	2	0	0	hsa-miR-4742-3p				-0.51	-0.51	N/A
TFRC	ENST00000540528.1	transferrin receptor 	296	3	1	2	0	0	hsa-miR-4742-3p				-0.51	-0.52	N/A
RGPD2	ENST00000398146.3	RANBP2-like and GRIP domain containing 2 	5	2	0	2	0	0	hsa-miR-4742-3p				-0.51	-0.51	N/A
CDK2AP1	ENST00000261692.2	cyclin-dependent kinase 2 associated protein 1 	1047	1	1	0	0	0	hsa-miR-4742-3p				-0.51	-0.51	N/A
ST20-MTHFS	ENST00000479961.1	ST20-MTHFS readthrough 	1604	2	1	0	1	0	hsa-miR-4742-3p				-0.51	-0.55	N/A
TRIM36	ENST00000282369.3	tripartite motif containing 36 	85	1	1	0	0	0	hsa-miR-4742-3p				-0.51	-0.51	N/A
KLF6	ENST00000542957.1	Kruppel-like factor 6 	4644	4	2	1	1	1	hsa-miR-4742-3p				-0.51	-0.51	N/A
MS4A2	ENST00000278888.3	membrane-spanning 4-domains, subfamily A, member 2 	5	3	2	0	1	1	hsa-miR-4742-3p				-0.50	-0.70	N/A
NUPL1	ENST00000381736.3	nucleoporin like 1 	268	2	1	0	1	1	hsa-miR-4742-3p				-0.50	-0.50	N/A
GNG12	ENST00000370982.3	guanine nucleotide binding protein (G protein), gamma 12 	1362	1	1	0	0	1	hsa-miR-4742-3p				-0.50	-0.51	N/A
C16orf52	ENST00000542527.2	chromosome 16 open reading frame 52 	102	3	1	2	0	2	hsa-miR-4742-3p				-0.50	-0.67	N/A
DENND1B	ENST00000235453.4	DENN/MADD domain containing 1B 	6	2	1	0	1	0	hsa-miR-4742-3p				-0.50	-0.50	N/A
MTHFS	ENST00000258874.3	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase) 	1604	2	1	0	1	0	hsa-miR-4742-3p				-0.50	-0.53	N/A
LY6E	ENST00000517503.1	lymphocyte antigen 6 complex, locus E 	342	1	1	0	0	0	hsa-miR-4742-3p				-0.50	-0.51	N/A
SGCZ	ENST00000382080.1	sarcoglycan, zeta 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.49	-0.49	N/A
GNG10	ENST00000374293.4	guanine nucleotide binding protein (G protein), gamma 10 	407	1	1	0	0	0	hsa-miR-4742-3p				-0.49	-0.49	N/A
LGALS8	ENST00000526589.1	lectin, galactoside-binding, soluble, 8 	188	2	1	1	0	0	hsa-miR-4742-3p				-0.48	-0.54	N/A
CDNF	ENST00000378442.1	cerebral dopamine neurotrophic factor 	6	2	1	1	0	0	hsa-miR-4742-3p				-0.48	-0.68	N/A
ZNF616	ENST00000330123.5	zinc finger protein 616 	45	2	1	1	0	0	hsa-miR-4742-3p				-0.47	-0.47	N/A
ZNF844	ENST00000439326.3	zinc finger protein 844 	11	2	1	1	0	2	hsa-miR-4742-3p				-0.47	-0.47	N/A
ANKIB1	ENST00000265742.3	ankyrin repeat and IBR domain containing 1 	127	2	1	1	0	1	hsa-miR-4742-3p				-0.47	-0.55	N/A
LIPT1	ENST00000393473.2	lipoyltransferase 1 	68	1	0	1	0	0	hsa-miR-4742-3p				-0.46	-0.46	N/A
TMEM117	ENST00000551577.1	transmembrane protein 117 	381	1	1	0	0	2	hsa-miR-4742-3p				-0.46	-0.49	N/A
CDC7	ENST00000234626.6	cell division cycle 7 	416	3	2	0	1	0	hsa-miR-4742-3p				-0.46	-0.48	N/A
MAP3K13	ENST00000448876.1	mitogen-activated protein kinase kinase kinase 13 	226	1	1	0	0	0	hsa-miR-4742-3p				-0.46	-0.46	N/A
PTGER3	ENST00000370924.4	prostaglandin E receptor 3 (subtype EP3) 	14	2	1	1	0	2	hsa-miR-4742-3p				-0.46	-0.60	N/A
MRPL43	ENST00000477279.1	mitochondrial ribosomal protein L43 	502	1	1	0	0	0	hsa-miR-4742-3p				-0.45	-0.45	N/A
UBTD2	ENST00000393792.2	ubiquitin domain containing 2 	297	2	1	1	0	0	hsa-miR-4742-3p				-0.44	-0.48	N/A
ANGPTL1	ENST00000234816.2	angiopoietin-like 1 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.44	-0.44	N/A
RPL36AL	ENST00000298289.6	ribosomal protein L36a-like 	105	1	0	1	0	0	hsa-miR-4742-3p				-0.44	-0.44	N/A
ELOVL5	ENST00000370918.4	ELOVL fatty acid elongase 5 	2233	2	1	0	1	1	hsa-miR-4742-3p				-0.44	-0.44	N/A
SUSD5	ENST00000309558.3	sushi domain containing 5 	23	3	0	3	0	0	hsa-miR-4742-3p				-0.44	-0.44	N/A
EREG	ENST00000244869.2	epiregulin 	5	3	0	3	0	1	hsa-miR-4742-3p				-0.44	-0.44	N/A
CCNG1	ENST00000340828.2	cyclin G1 	1547	2	1	0	1	0	hsa-miR-4742-3p				-0.43	-0.44	N/A
CYP27C1	ENST00000335247.7	cytochrome P450, family 27, subfamily C, polypeptide 1 	5	2	2	0	0	3	hsa-miR-4742-3p				-0.43	-0.43	N/A
LYRM5	ENST00000556402.1	LYR motif containing 5 	40	1	1	0	0	0	hsa-miR-4742-3p				-0.43	-0.43	N/A
MKRN3	ENST00000314520.3	makorin ring finger protein 3 	18	1	1	0	0	0	hsa-miR-4742-3p				-0.43	-0.43	N/A
RP11-215A19.2	ENST00000509111.1		5	1	1	0	0	0	hsa-miR-4742-3p				-0.43	-0.43	N/A
C4BPA	ENST00000367070.3	complement component 4 binding protein, alpha 	11	1	1	0	0	0	hsa-miR-4742-3p				-0.43	-0.43	N/A
TEX101	ENST00000253435.7	testis expressed 101 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.43	-0.43	N/A
EPB41L2	ENST00000531410.1	erythrocyte membrane protein band 4.1-like 2 	353	1	1	0	0	0	hsa-miR-4742-3p				-0.42	-0.43	N/A
SRSF3	ENST00000373715.6	serine/arginine-rich splicing factor 3 	2593	4	2	1	1	3	hsa-miR-4742-3p				-0.42	-0.89	N/A
ROPN1	ENST00000184183.4	rhophilin associated tail protein 1 	5	2	0	1	1	0	hsa-miR-4742-3p				-0.42	-0.42	N/A
AC062017.1	ENST00000409526.1	Uncharacterized protein  	8	1	0	1	0	0	hsa-miR-4742-3p				-0.42	-0.42	N/A
DNAJC25	ENST00000556107.1	DnaJ (Hsp40) homolog, subfamily C , member 25 	407	1	1	0	0	0	hsa-miR-4742-3p				-0.42	-0.42	N/A
DNAJC25-GNG10	ENST00000374294.3	DNAJC25-GNG10 readthrough 	407	1	1	0	0	0	hsa-miR-4742-3p				-0.42	-0.42	N/A
DKFZP779J2370	ENST00000378904.2		20	1	1	0	0	0	hsa-miR-4742-3p				-0.42	-0.42	N/A
ANKMY2	ENST00000306999.2	ankyrin repeat and MYND domain containing 2 	75	3	0	3	0	0	hsa-miR-4742-3p				-0.42	-0.42	N/A
RP11-712L6.5	ENST00000524964.1	Uncharacterized protein  	7	1	0	1	0	0	hsa-miR-4742-3p				-0.42	-0.42	N/A
APTX	ENST00000436040.2	aprataxin 	310	1	1	0	0	1	hsa-miR-4742-3p				-0.42	-0.42	N/A
AL079342.1	ENST00000369474.1	Uncharacterized protein; cDNA FLJ27030 fis, clone SLV07741  	5	1	1	0	0	0	hsa-miR-4742-3p				-0.42	-0.42	N/A
RAB5A	ENST00000273047.4	RAB5A, member RAS oncogene family 	68	1	1	0	0	0	hsa-miR-4742-3p				-0.42	-0.42	N/A
OIP5	ENST00000220514.3	Opa interacting protein 5 	178	2	2	0	0	0	hsa-miR-4742-3p				-0.41	-0.52	N/A
KIAA1279	ENST00000361983.4	KIAA1279 	52	1	1	0	0	1	hsa-miR-4742-3p				-0.41	-0.41	N/A
CHAC2	ENST00000295304.4	ChaC, cation transport regulator homolog 2 (E. coli) 	126	1	0	1	0	1	hsa-miR-4742-3p				-0.41	-0.41	N/A
MMP28	ENST00000250144.8	matrix metallopeptidase 28 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.41	-0.41	N/A
CCDC39	ENST00000273654.4	coiled-coil domain containing 39 	5	1	1	0	0	1	hsa-miR-4742-3p				-0.41	-0.41	N/A
BACH1	ENST00000286800.3	BTB and CNC homology 1, basic leucine zipper transcription factor 1 	273	1	0	1	0	3	hsa-miR-4742-3p				-0.41	-0.45	N/A
IARS	ENST00000375629.3	isoleucyl-tRNA synthetase 	65	1	1	0	0	0	hsa-miR-4742-3p				-0.41	-0.41	N/A
AC107021.1	ENST00000422482.1	HCG1786590; PRO2533; Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-4742-3p				-0.41	-0.41	N/A
MRPL9	ENST00000368830.3	mitochondrial ribosomal protein L9 	1044	1	1	0	0	0	hsa-miR-4742-3p				-0.41	-0.41	N/A
SLC30A5	ENST00000396591.3	solute carrier family 30 (zinc transporter), member 5 	677	1	1	0	0	0	hsa-miR-4742-3p				-0.40	-0.40	N/A
GPR15	ENST00000284311.3	G protein-coupled receptor 15 	0	2	1	1	0	0	hsa-miR-4742-3p				-0.40	-0.40	N/A
KLLN	ENST00000445946.3	killin, p53-regulated DNA replication inhibitor 	5	1	1	0	0	1	hsa-miR-4742-3p				-0.40	-0.40	N/A
LYPLA1	ENST00000316963.3	lysophospholipase I 	57	3	0	2	1	1	hsa-miR-4742-3p				-0.40	-0.48	N/A
SSSCA1	ENST00000526877.1	Sjogren syndrome/scleroderma autoantigen 1 	96	1	1	0	0	0	hsa-miR-4742-3p				-0.40	-0.40	N/A
NABP2	ENST00000267023.4	nucleic acid binding protein 2 	42	1	1	0	0	0	hsa-miR-4742-3p				-0.40	-0.40	N/A
FAM206A	ENST00000322940.6	family with sequence similarity 206, member A 	266	2	1	0	1	0	hsa-miR-4742-3p				-0.40	-0.51	N/A
RGPD6	ENST00000329516.3	RANBP2-like and GRIP domain containing 6 	5	2	0	2	0	1	hsa-miR-4742-3p				-0.40	-0.58	N/A
RGPD5	ENST00000016946.3	RANBP2-like and GRIP domain containing 5 	5	2	0	2	0	1	hsa-miR-4742-3p				-0.40	-0.58	N/A
C1orf110	ENST00000367910.1	chromosome 1 open reading frame 110 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.40	-0.40	N/A
HOPX	ENST00000420433.1	HOP homeobox 	55	1	1	0	0	0	hsa-miR-4742-3p				-0.39	-0.42	N/A
SLC22A10	ENST00000544661.1	solute carrier family 22, member 10 	5	2	0	2	0	0	hsa-miR-4742-3p				-0.39	-0.39	N/A
KLF3	ENST00000261438.5	Kruppel-like factor 3 (basic) 	515	2	0	1	1	2	hsa-miR-4742-3p				-0.39	-0.55	N/A
TMEM106C	ENST00000429772.2	transmembrane protein 106C 	27951	2	1	0	1	0	hsa-miR-4742-3p				-0.39	-0.41	N/A
CEACAM8	ENST00000244336.5	carcinoembryonic antigen-related cell adhesion molecule 8 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.39	-0.39	N/A
TMEFF2	ENST00000392314.1	transmembrane protein with EGF-like and two follistatin-like domains 2 	179	2	0	2	0	0	hsa-miR-4742-3p				-0.39	-0.39	N/A
TNFAIP8	ENST00000504771.2	tumor necrosis factor, alpha-induced protein 8 	608	1	1	0	0	0	hsa-miR-4742-3p				-0.39	-0.39	N/A
TCEA1	ENST00000396401.3	transcription elongation factor A (SII), 1 	20	1	1	0	0	0	hsa-miR-4742-3p				-0.39	-0.39	N/A
HAL	ENST00000538703.1	histidine ammonia-lyase 	472	1	1	0	0	0	hsa-miR-4742-3p				-0.39	-0.39	N/A
CENPL	ENST00000356198.2	centromere protein L 	390	3	0	2	1	1	hsa-miR-4742-3p				-0.39	-0.40	N/A
VEGFA	ENST00000417285.2	vascular endothelial growth factor A 	907	3	1	0	2	0	hsa-miR-4742-3p				-0.39	-0.48	N/A
FAM49A	ENST00000381323.3	family with sequence similarity 49, member A 	38	1	1	0	0	1	hsa-miR-4742-3p				-0.39	-0.39	N/A
PICALM	ENST00000532317.1	phosphatidylinositol binding clathrin assembly protein 	1173	3	1	1	1	0	hsa-miR-4742-3p				-0.39	-0.39	N/A
SCAF8	ENST00000367178.3	SR-related CTD-associated factor 8 	1917	2	1	0	1	0	hsa-miR-4742-3p				-0.38	-0.48	N/A
MAP4K5	ENST00000013125.4	mitogen-activated protein kinase kinase kinase kinase 5 	634	3	0	1	2	0	hsa-miR-4742-3p				-0.38	-0.41	N/A
TXNL4B	ENST00000268483.3	thioredoxin-like 4B 	200	1	1	0	0	1	hsa-miR-4742-3p				-0.38	-0.38	N/A
CYB5R4	ENST00000369681.5	cytochrome b5 reductase 4 	329	2	1	1	0	2	hsa-miR-4742-3p				-0.38	-0.40	N/A
SMIM14	ENST00000295958.5	small integral membrane protein 14 	601	3	1	1	1	0	hsa-miR-4742-3p				-0.38	-0.46	N/A
DONSON	ENST00000453626.1	downstream neighbor of SON 	103	2	1	1	0	0	hsa-miR-4742-3p				-0.38	-0.56	N/A
AHR	ENST00000242057.4	aryl hydrocarbon receptor 	25	1	1	0	0	1	hsa-miR-4742-3p				-0.37	-0.37	N/A
MLANA	ENST00000381477.3	melan-A 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.37	-0.37	N/A
CDH13	ENST00000566620.1	cadherin 13 	1020	2	0	1	1	1	hsa-miR-4742-3p				-0.37	-0.37	N/A
ABCC2	ENST00000370449.4	ATP-binding cassette, sub-family C (CFTR/MRP), member 2 	39	2	1	1	0	0	hsa-miR-4742-3p				-0.37	-0.37	N/A
ANKRD13C	ENST00000370944.4	ankyrin repeat domain 13C 	369	3	1	1	1	2	hsa-miR-4742-3p				-0.37	-0.46	N/A
GKN2	ENST00000481498.1	gastrokine 2 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.36	-0.36	N/A
PCIF1	ENST00000372409.3	PDX1 C-terminal inhibiting factor 1 	139	1	1	0	0	0	hsa-miR-4742-3p				-0.36	-0.37	N/A
SNX24	ENST00000513881.1	sorting nexin 24 	352	2	1	1	0	0	hsa-miR-4742-3p				-0.36	-0.38	N/A
TMPRSS11BNL	ENST00000432593.3	TMPRSS11B N-terminal like 	5	3	0	2	1	1	hsa-miR-4742-3p				-0.36	-0.36	N/A
HOMER1	ENST00000508576.1	homer homolog 1 (Drosophila) 	394	3	0	2	1	0	hsa-miR-4742-3p				-0.36	-0.41	N/A
MNS1	ENST00000260453.3	meiosis-specific nuclear structural 1 	14	1	1	0	0	0	hsa-miR-4742-3p				-0.36	-0.39	N/A
PDCL3	ENST00000264254.6	phosducin-like 3 	58	1	0	1	0	1	hsa-miR-4742-3p				-0.36	-0.40	N/A
COMMD8	ENST00000381571.4	COMM domain containing 8 	1146	1	1	0	0	0	hsa-miR-4742-3p				-0.36	-0.37	N/A
ASPH	ENST00000356457.5	aspartate beta-hydroxylase 	3013	3	1	0	2	0	hsa-miR-4742-3p				-0.36	-0.39	N/A
BLOC1S6	ENST00000220531.3	biogenesis of lysosomal organelles complex-1, subunit 6, pallidin 	1754	1	1	0	0	1	hsa-miR-4742-3p				-0.36	-0.36	N/A
AL359878.1	ENST00000381466.1	Uncharacterized protein  	5	1	1	0	0	0	hsa-miR-4742-3p				-0.36	-0.36	N/A
CEACAM6	ENST00000199764.6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen) 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.36	-0.36	N/A
SMAD5	ENST00000545279.1	SMAD family member 5 	225	3	2	0	1	1	hsa-miR-4742-3p				-0.36	-0.51	N/A
PSMB10	ENST00000358514.4	proteasome (prosome, macropain) subunit, beta type, 10 	140	1	0	1	0	0	hsa-miR-4742-3p				-0.36	-0.36	N/A
SNX7	ENST00000306121.3	sorting nexin 7 	4601	1	1	0	0	0	hsa-miR-4742-3p				-0.36	-0.36	N/A
USP51	ENST00000500968.3	ubiquitin specific peptidase 51 	26	3	2	1	0	0	hsa-miR-4742-3p				-0.36	-0.36	N/A
TMEM99	ENST00000301665.3	transmembrane protein 99 	127	2	1	1	0	0	hsa-miR-4742-3p				-0.36	-0.57	N/A
BEND6	ENST00000370750.2	BEN domain containing 6 	11	1	1	0	0	0	hsa-miR-4742-3p				-0.35	-0.35	N/A
ZNF124	ENST00000340684.6	zinc finger protein 124 	109	1	1	0	0	0	hsa-miR-4742-3p				-0.35	-0.35	N/A
C10orf40	ENST00000521074.1	chromosome 10 open reading frame 40 	5	2	0	2	0	0	hsa-miR-4742-3p				-0.35	-0.35	N/A
ITGA4	ENST00000397033.2	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) 	29	2	1	1	0	1	hsa-miR-4742-3p				-0.35	-0.41	N/A
FGF5	ENST00000456523.3	fibroblast growth factor 5 	1478	2	1	1	0	0	hsa-miR-4742-3p				-0.35	-0.35	N/A
RP11-144F15.1	ENST00000551505.1	Uncharacterized protein  	5	1	0	1	0	0	hsa-miR-4742-3p				-0.35	-0.35	N/A
MSANTD3-TMEFF1	ENST00000502978.1	MSANTD3-TMEFF1 readthrough 	234	1	1	0	0	0	hsa-miR-4742-3p				-0.35	-0.35	N/A
DGKE	ENST00000284061.3	diacylglycerol kinase, epsilon 64kDa 	470	4*	1	2	0	1	hsa-miR-4742-3p				-0.35	-0.45	N/A
PTER	ENST00000378000.1	phosphotriesterase related 	217	1	1	0	0	1	hsa-miR-4742-3p				-0.35	-0.35	N/A
NUDT4	ENST00000337179.5	nudix (nucleoside diphosphate linked moiety X)-type motif 4 	41	2	1	1	0	0	hsa-miR-4742-3p				-0.35	-0.35	N/A
NKX2-2	ENST00000377142.4	NK2 homeobox 2 	10	1	1	0	0	0	hsa-miR-4742-3p				-0.35	-0.35	N/A
GRIK1	ENST00000327783.4	glutamate receptor, ionotropic, kainate 1 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.34	-0.34	N/A
AKAP14	ENST00000371431.3	A kinase (PRKA) anchor protein 14 	5	1	0	1	0	0	hsa-miR-4742-3p				-0.34	-0.34	N/A
TMEFF1	ENST00000374879.4	transmembrane protein with EGF-like and two follistatin-like domains 1 	234	1	1	0	0	0	hsa-miR-4742-3p				-0.34	-0.34	N/A
CCNA2	ENST00000274026.5	cyclin A2 	1162	3	1	1	1	1	hsa-miR-4742-3p				-0.34	-0.56	N/A
EPC1	ENST00000319778.6	enhancer of polycomb homolog 1 (Drosophila) 	102	3	1	1	1	0	hsa-miR-4742-3p				-0.34	-0.35	N/A
TMIGD1	ENST00000538566.2	transmembrane and immunoglobulin domain containing 1 	5	1	1	0	0	0	hsa-miR-4742-3p				-0.34	-0.34	N/A
MTAP	ENST00000380172.4	methylthioadenosine phosphorylase 	1575	3	1	0	2	0	hsa-miR-4742-3p				-0.34	-0.40	N/A
MMP16	ENST00000286614.6	matrix metallopeptidase 16 (membrane-inserted) 	12	6	5	0	1	3	hsa-miR-4742-3p				-0.34	-0.53	N/A
ZWINT	ENST00000373944.3	ZW10 interacting kinetochore protein 	6608	1	1	0	0	3	hsa-miR-4742-3p				-0.34	-0.48	N/A
LHFP	ENST00000379589.3	lipoma HMGIC fusion partner 	5	2	0	1	1	0	hsa-miR-4742-3p				-0.34	-0.34	N/A
CCR9	ENST00000357632.2	chemokine (C-C motif) receptor 9 	5	2	1	1	0	0	hsa-miR-4742-3p				-0.34	-0.34	N/A
SLC2A1	ENST00000426263.3	solute carrier family 2 (facilitated glucose transporter), member 1 	13928	1	1	0	0	0	hsa-miR-4742-3p				-0.34	-0.34	N/A
EIF4A2	ENST00000323963.5	eukaryotic translation initiation factor 4A2 	304	1	1	0	0	0	hsa-miR-4742-3p				-0.34	-0.34	N/A
STRADB	ENST00000392249.2	STE20-related kinase adaptor beta 	12	3	0	1	2	0	hsa-miR-4742-3p				-0.33	-0.41	N/A
EFNA5	ENST00000333274.6	ephrin-A5 	225	3	2	1	0	1	hsa-miR-4742-3p				-0.33	-0.34	N/A
AKAP5	ENST00000394718.4	A kinase (PRKA) anchor protein 5 	75	2	1	1	0	1	hsa-miR-4742-3p				-0.33	-0.39	N/A
RNF6	ENST00000346166.3	ring finger protein (C3H2C3 type) 6 	47	1	1	0	0	1	hsa-miR-4742-3p				-0.33	-0.33	N/A
ARHGAP21	ENST00000396432.2	Rho GTPase activating protein 21 	10	3	0	2	1	0	hsa-miR-4742-3p				-0.33	-0.33	N/A
RPA2	ENST00000373912.3	replication protein A2, 32kDa 	1002	1	0	1	0	0	hsa-miR-4742-3p				-0.33	-0.33	N/A
PCNP	ENST00000296024.5	PEST proteolytic signal containing nuclear protein 	944	4	0	2	2	2	hsa-miR-4742-3p				-0.33	-0.37	N/A
TIMM17A	ENST00000367287.4	translocase of inner mitochondrial membrane 17 homolog A (yeast) 	5594	1	0	1	0	0	hsa-miR-4742-3p				-0.33	-0.33	N/A
LCA5	ENST00000369846.4	Leber congenital amaurosis 5 	8	2	0	2	0	0	hsa-miR-4742-3p				-0.33	-0.33	N/A
QKI	ENST00000392127.2	QKI, KH domain containing, RNA binding 	323	3	0	3	0	5	hsa-miR-4742-3p				-0.33	-0.64	N/A
MAL2	ENST00000276681.6	mal, T-cell differentiation protein 2 (gene/pseudogene) 	2056	2	1	1	0	2	hsa-miR-4742-3p				-0.33	-0.37	N/A
RABEPK	ENST00000394124.4	Rab9 effector protein with kelch motifs 	2485	1	1	0	0	0	hsa-miR-4742-3p				-0.33	-0.33	N/A
FBXO28	ENST00000424254.2	F-box protein 28 	461	2	1	1	0	1	hsa-miR-4742-3p				-0.33	-0.37	N/A
LACC1	ENST00000325686.6	laccase (multicopper oxidoreductase) domain containing 1 	15	2	1	1	0	1	hsa-miR-4742-3p				-0.32	-0.32	N/A
CD160	ENST00000369290.1	CD160 molecule 	5	1	1	0	0	1	hsa-miR-4742-3p				-0.32	-0.32	N/A
HTR2A	ENST00000378688.4	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled 	5	3	1	1	1	0	hsa-miR-4742-3p				-0.32	-0.32	N/A
REL	ENST00000295025.8	v-rel avian reticuloendotheliosis viral oncogene homolog 	116	4	2	0	2	1	hsa-miR-4742-3p				-0.32	-0.33	N/A
DOC2A	ENST00000350119.4	double C2-like domains, alpha 	10	1	1	0	0	0	hsa-miR-4742-3p				-0.32	-0.32	N/A
TCAIM	ENST00000342649.4	T cell activation inhibitor, mitochondrial 	844	1	1	0	0	0	hsa-miR-4742-3p				-0.32	-0.32	N/A
